date,open,high,low,last,close,number_of_shares,number_of_trades,turnover,vwap
2024-05-13,286.7,290.3,285.1,287.2,287.2,657548,2002,189034786,287.4844
2024-05-14,287.8,292.3,284.3,288.0,288.0,818863,2645,236044398,288.2587
2024-05-15,290.0,291.2,285.4,288.6,288.6,724428,2303,208720440,288.1176
2024-05-16,290.0,293.7,289.3,292.8,292.8,592896,1872,172398663,290.7739
2024-05-17,0.0,0.0,0.0,0.0,292.8,0,0,0,0.0
2024-05-20,0.0,0.0,0.0,0.0,292.8,0,0,0,0.0
2024-05-21,299.1,306.0,299.1,305.8,305.8,907203,2946,275745932,303.9546
2024-05-22,309.0,314.2,300.1,301.1,301.1,1313939,4660,402831038,306.5829
2024-05-23,301.5,306.6,299.3,300.2,300.2,728908,2520,219990575,301.809
2024-05-24,300.0,304.7,297.1,304.4,304.4,495932,1786,149758288,301.9734
2024-05-27,305.0,310.7,304.7,309.8,309.8,462016,1771,142391985,308.1971
2024-05-28,310.8,311.5,302.2,304.3,304.3,872316,3276,267029787,306.1159
2024-05-29,306.4,309.0,303.6,305.9,305.9,693684,2988,212600162,306.4798
2024-05-30,295.4,309.5,292.2,296.7,296.7,1735194,6198,522112166,300.8956
2024-05-31,301.0,309.2,300.0,300.8,300.8,1887376,5806,572520502,303.342
2024-06-03,300.3,300.6,290.1,291.5,291.5,1198906,4263,352989733,294.4265
2024-06-04,291.1,291.9,287.1,291.4,291.4,758197,2944,219490422,289.49
2024-06-05,285.6,286.8,281.4,286.1,286.1,902578,3446,257045659,284.7905
2024-06-06,288.7,292.0,284.5,285.8,285.8,675359,2874,194142404,287.4655
2024-06-07,284.1,285.0,277.6,283.0,283.0,870838,3469,245040246,281.3848
2024-06-10,283.5,285.8,282.3,285.2,285.2,524985,1982,149380364,284.5422
2024-06-11,285.0,285.0,271.5,275.4,275.4,1307400,5459,361378059,276.4097
2024-06-12,276.0,280.1,273.1,274.9,274.9,741268,2490,204676567,276.1168
2024-06-13,270.0,271.8,264.4,264.4,264.4,750669,3213,200733943,267.4029
2024-06-14,265.0,266.0,257.0,262.2,262.2,935515,4838,243764809,260.5816
2024-06-17,258.1,261.3,255.5,257.8,257.8,681406,2524,175891925,258.13
2024-06-18,256.6,262.1,255.9,259.6,259.6,568427,2629,147775473,259.9727
2024-06-19,262.0,268.4,261.2,268.4,268.4,864916,2466,230496480,266.4968
