date,open,high,low,last,close,number_of_shares,number_of_trades,turnover,vwap
2024-05-13,186.7,187.9,186.0,187.3,187.3,532512,1217,99636053,187.1057
2024-05-14,187.3,189.8,186.4,187.4,187.4,609376,1455,114592777,188.0494
2024-05-15,187.6,189.4,184.6,185.2,185.2,380430,1409,70832097,186.1896
2024-05-16,185.6,188.7,185.1,188.6,188.6,1701256,1537,300506873,176.6382
2024-05-17,0.0,0.0,0.0,0.0,188.6,0,0,0,0.0
2024-05-20,0.0,0.0,0.0,0.0,188.6,0,0,0,0.0
2024-05-21,188.7,189.4,186.6,188.9,188.9,314774,1092,59323685,188.4655
2024-05-22,188.5,190.0,186.3,186.3,186.3,267048,888,49972006,187.1274
2024-05-23,186.8,187.2,184.4,184.8,184.8,337987,1049,62642883,185.3411
2024-05-24,183.7,185.7,183.1,185.0,185.0,371799,1061,68678734,184.7201
2024-05-27,186.5,189.1,186.3,188.4,188.4,260696,850,49046172,188.1355
2024-05-28,188.9,190.1,186.8,189.3,189.3,434415,1211,82008531,188.7792
2024-05-29,190.0,191.4,187.8,189.2,189.2,514790,1136,97546389,189.4877
2024-05-30,195.0,197.8,193.0,193.0,193.0,1033999,2169,202111848,195.4662
2024-05-31,193.9,195.4,192.1,193.8,193.8,673736,1623,130701045,193.9945
2024-06-03,196.0,197.5,191.1,191.8,191.8,346888,1222,67219907,193.7799
2024-06-04,191.0,191.2,182.7,185.0,185.0,672877,1887,124633515,185.2248
2024-06-05,185.7,189.0,185.1,188.6,188.6,405164,1079,76227940,188.141
2024-06-06,189.5,189.8,188.2,189.4,189.4,289277,939,54735648,189.2153
2024-06-07,189.0,189.0,186.0,188.3,188.3,275024,881,51665861,187.8595
2024-06-10,186.1,190.2,186.0,190.2,190.2,270279,722,51273486,189.7058
2024-06-11,191.1,191.4,187.4,188.1,188.1,241137,765,45441727,188.4478
2024-06-12,190.5,194.8,190.3,192.2,192.2,628397,1353,121137405,192.772
2024-06-13,192.4,193.7,189.1,189.8,189.8,421751,1353,80403503,190.6421
2024-06-14,189.6,190.5,186.6,188.2,188.2,398433,1207,75063083,188.3964
2024-06-17,188.2,190.2,186.8,188.9,188.9,293092,984,55317589,188.7409
2024-06-18,189.0,191.7,188.4,191.7,191.7,549365,1389,104905893,190.9585
2024-06-19,194.0,195.7,191.2,191.5,191.5,469216,1173,90266721,192.3778
2024-06-20,192.0,196.0,190.5,195.5,195.5,771575,1278,150220371,194.6932
2024-06-21,195.2,197.0,194.6,196.3,196.3,1030149,2111,198076323,192.2793
2024-06-24,196.2,197.1,194.4,197.0,197.0,399337,1391,78338050,196.1716
2024-06-25,197.0,198.2,195.6,196.2,196.2,312930,806,61514177,196.5749
2024-06-26,197.1,200.6,194.6,195.6,195.6,1083657,2046,214564638,198.0005
2024-06-27,196.0,199.5,196.0,198.6,198.6,323568,1175,64234937,198.5207
2024-06-28,199.1,202.6,199.1,200.8,200.8,395047,954,79385817,200.9528
2024-07-01,201.8,203.6,201.0,201.6,201.6,379850,1132,76664529,201.8284
2024-07-02,201.4,203.0,200.2,201.4,201.4,770944,1265,155497165,201.6971
2024-07-03,202.6,202.8,201.2,201.8,201.8,306275,867,61816519,201.8334
2024-07-04,202.4,203.0,201.0,201.0,201.0,229411,839,46280392,201.7357
2024-07-05,201.6,204.0,199.8,199.8,199.8,386373,1149,77760669,201.258
2024-07-08,199.8,201.0,198.4,199.0,199.0,405778,1145,80865102,199.2841
2024-07-09,198.9,199.5,197.8,199.5,199.5,427567,1146,85124547,199.0905
2024-07-10,197.0,199.6,196.6,199.1,199.1,354960,1220,70551394,198.7587
2024-07-11,199.2,199.4,196.4,197.6,197.6,350047,1250,69232090,197.7797
2024-07-12,198.0,203.6,198.0,201.2,201.2,529355,1503,106570145,201.3207
2024-07-15,200.6,202.6,199.2,199.7,199.7,395035,1145,79147580,200.3559
2024-07-16,199.8,200.8,198.4,199.5,199.5,257916,854,51498849,199.673
2024-07-17,199.8,204.8,199.8,203.8,203.8,524978,1046,106686521,203.2209
2024-07-18,204.4,207.0,203.8,206.2,206.2,555318,1347,114347507,205.9141
2024-07-19,206.2,210.0,205.0,208.8,208.8,1659379,1417,338749280,204.139
2024-07-22,208.8,211.0,208.2,211.0,211.0,445406,1337,93665425,210.2922
2024-07-23,211.0,212.2,208.6,208.8,208.8,667488,1161,139842430,209.5055
2024-07-24,208.8,211.0,206.8,208.8,208.8,625772,1531,130846907,209.0986
2024-07-25,214.0,216.4,207.8,215.2,215.2,1024093,2846,219034101,213.8808
2024-07-26,216.0,218.2,208.6,209.4,209.4,852072,2543,181152078,212.6018
2024-07-29,211.4,214.0,208.2,210.2,210.2,598376,1211,126000614,210.5709
2024-07-30,210.2,211.6,208.0,209.0,209.0,394052,977,82459086,209.2594
2024-07-31,212.0,213.6,210.2,210.2,210.2,589536,1219,124355930,210.9387
2024-08-01,211.0,212.2,205.6,206.4,206.4,722121,1140,140296101,194.2393
2024-08-02,204.6,205.0,201.2,202.6,202.6,669336,1543,136401789,203.8071
2024-08-05,188.0,194.6,187.1,188.1,188.1,967872,2670,183297787,189.3823
2024-08-06,193.0,195.9,189.2,191.8,191.8,607349,2037,116548566,191.8972
2024-08-07,194.6,195.3,191.8,193.0,193.0,807340,1735,156139025,193.3993
