date,open,high,low,last,close,number_of_shares,number_of_trades,turnover
2024-05-13,1418.7,1418.7,1408.61,1416.45,1416.45,0,0,0
2024-05-14,1416.32,1418.74,1412.27,1417.0,1417.0,0,0,0
2024-05-15,1420.22,1425.52,1408.54,1409.06,1409.06,0,0,0
2024-05-16,1410.03,1419.11,1407.69,1416.42,1416.42,0,0,0
2024-05-17,0.0,1416.42,1416.42,1416.42,1416.42,0,0,0
2024-05-20,0.0,1416.42,1416.42,1416.42,1416.42,0,0,0
2024-05-21,1416.48,1428.25,1416.33,1424.56,1424.56,0,0,0
2024-05-22,1426.11,1426.93,1416.43,1418.31,1418.31,0,0,0
2024-05-23,1418.45,1428.62,1415.25,1424.98,1424.98,0,0,0
2024-05-24,1425.14,1425.93,1415.25,1423.46,1423.46,0,0,0
2024-05-27,1423.53,1434.6,1421.06,1434.2,1434.2,0,0,0
2024-05-28,1434.47,1437.48,1431.53,1433.82,1433.82,0,0,0
2024-05-29,1435.04,1439.82,1422.1,1423.64,1423.64,0,0,0
2024-05-30,1423.65,1435.99,1415.39,1428.1,1428.1,0,0,0
2024-05-31,1428.28,1442.59,1428.28,1440.53,1440.53,0,0,0
2024-06-03,1440.55,1456.63,1440.55,1442.35,1442.35,0,0,0
2024-06-04,1442.32,1442.32,1408.13,1415.1,1415.1,0,0,0
2024-06-05,1415.1,1421.78,1412.65,1413.36,1413.36,0,0,0
2024-06-06,1413.84,1420.48,1413.84,1416.83,1416.83,0,0,0
2024-06-07,1419.39,1423.28,1413.29,1423.28,1423.28,0,0,0
2024-06-10,1423.28,1423.74,1413.35,1419.29,1419.29,0,0,0
2024-06-11,1419.55,1424.15,1402.85,1407.23,1407.23,0,0,0
2024-06-12,1407.23,1417.82,1407.14,1414.25,1414.25,0,0,0
2024-06-13,1414.81,1414.81,1399.32,1400.14,1400.14,0,0,0
2024-06-14,1400.14,1406.61,1390.43,1391.56,1391.56,0,0,0
2024-06-17,1391.57,1399.19,1386.43,1393.52,1393.52,0,0,0
2024-06-18,1393.52,1405.62,1393.52,1403.06,1403.06,0,0,0
2024-06-19,1403.15,1408.69,1401.68,1404.23,1404.23,0,0,0
2024-06-20,1404.64,1409.94,1401.07,1409.34,1409.34,0,0,0
2024-06-21,1409.34,1409.76,1401.75,1406.98,1406.98,0,0,0
2024-06-24,1407.01,1418.09,1399.48,1417.06,1417.06,0,0,0
2024-06-25,1417.04,1421.26,1407.03,1410.46,1410.46,0,0,0
2024-06-26,1410.46,1422.41,1406.93,1409.24,1409.24,0,0,0
2024-06-27,1409.29,1417.75,1409.19,1415.84,1415.84,0,0,0
2024-06-28,1415.87,1425.55,1414.91,1422.35,1422.35,0,0,0
2024-07-01,1422.37,1434.25,1420.96,1428.29,1428.29,0,0,0
2024-07-02,1428.33,1432.51,1424.39,1427.64,1427.64,0,0,0
2024-07-03,1427.65,1434.87,1425.58,1428.23,1428.23,0,0,0
2024-07-04,1428.24,1429.35,1425.56,1425.84,1425.84,0,0,0
2024-07-05,1425.82,1433.73,1418.63,1418.82,1418.82,0,0,0
2024-07-08,1418.96,1419.39,1406.58,1409.3,1409.3,0,0,0
2024-07-09,1409.24,1411.43,1400.72,1401.33,1401.33,0,0,0
2024-07-10,1401.29,1409.12,1400.79,1406.03,1406.03,0,0,0
2024-07-11,1406.03,1415.33,1404.96,1415.32,1415.32,0,0,0
2024-07-12,1415.87,1435.69,1415.87,1434.43,1434.43,0,0,0
2024-07-15,1434.42,1436.43,1422.87,1427.41,1427.41,0,0,0
2024-07-16,1427.39,1429.3,1420.75,1425.29,1425.29,0,0,0
2024-07-17,1426.9,1431.83,1421.57,1431.74,1431.74,0,0,0
2024-07-18,1431.7,1446.14,1430.99,1443.71,1443.71,0,0,0
2024-07-19,1443.72,1446.53,1439.02,1443.02,1443.02,0,0,0
2024-07-22,1442.98,1454.06,1440.26,1452.54,1452.54,0,0,0
2024-07-23,1452.89,1454.94,1444.96,1446.85,1446.85,0,0,0
2024-07-24,1446.84,1448.33,1439.36,1440.21,1440.21,0,0,0
2024-07-25,1440.52,1440.52,1419.95,1429.04,1429.04,0,0,0
2024-07-26,1429.18,1444.37,1429.11,1434.12,1434.12,0,0,0
2024-07-29,1434.71,1450.14,1434.71,1445.27,1445.27,0,0,0
2024-07-30,1445.27,1445.75,1440.32,1443.96,1443.96,0,0,0
2024-07-31,1443.98,1463.91,1443.97,1459.29,1459.29,0,0,0
2024-08-01,1459.3,1467.37,1449.91,1451.57,1451.57,0,0,0
2024-08-02,1451.42,1451.42,1408.87,1408.88,1408.88,0,0,0
2024-08-05,1408.8,1408.8,1347.42,1361.58,1361.58,0,0,0
2024-08-06,1362.08,1392.48,1362.08,1374.22,1374.22,0,0,0
2024-08-07,1374.23,1402.57,1374.23,1401.05,1401.05,0,0,0
2024-08-08,1400.91,1404.81,1390.23,1402.52,1402.52,0,0,0
2024-08-09,1402.52,1418.76,1402.52,1412.91,1412.91,0,0,0
2024-08-12,1412.91,1430.22,1412.91,1427.52,1427.52,0,0,0
2024-08-13,1427.52,1433.67,1425.25,1427.65,1427.65,0,0,0
2024-08-14,1427.65,1437.29,1427.65,1437.29,1437.29,0,0,0
2024-08-15,1437.29,1444.43,1432.46,1438.37,1438.37,0,0,0
2024-08-16,1441.56,1448.49,1437.46,1442.82,1442.82,0,0,0
2024-08-19,1443.31,1448.73,1435.79,1448.6,1448.6,0,0,0
2024-08-20,1448.66,1448.66,1427.32,1428.69,1428.69,0,0,0
2024-08-21,1428.86,1432.08,1424.87,1425.94,1425.94,0,0,0
2024-08-22,1426.05,1429.29,1417.61,1424.87,1424.87,0,0,0
2024-08-23,1424.87,1434.99,1424.04,1434.48,1434.48,0,0,0
2024-08-26,1434.54,1446.74,1433.52,1443.61,1443.61,0,0,0
2024-08-27,1443.62,1446.17,1437.49,1438.26,1438.26,0,0,0
2024-08-28,1438.37,1439.49,1429.2,1431.22,1431.22,0,0,0
2024-08-29,1431.42,1434.16,1423.05,1432.52,1432.52,0,0,0
2024-08-30,1432.57,1445.29,1431.94,1439.44,1439.44,0,0,0
2024-09-02,1440.33,1440.89,1427.99,1428.96,1428.96,0,0,0
2024-09-03,1428.94,1431.72,1397.48,1397.48,1397.48,0,0,0
2024-09-04,1397.37,1401.98,1381.31,1397.16,1397.16,0,0,0
2024-09-05,1397.15,1397.31,1390.08,1393.79,1393.79,0,0,0
2024-09-06,1393.62,1393.62,1380.82,1385.94,1385.94,0,0,0
2024-09-09,1386.26,1394.34,1382.57,1392.67,1392.67,0,0,0
2024-09-10,1392.89,1403.29,1379.27,1379.27,1379.27,0,0,0
2024-09-11,1379.21,1392.43,1379.21,1381.37,1381.37,0,0,0
2024-09-12,1381.84,1402.33,1381.84,1394.8,1394.8,0,0,0
2024-09-13,1394.8,1407.41,1394.8,1407.41,1407.41,0,0,0
2024-09-16,1407.35,1411.93,1399.89,1410.9,1410.9,0,0,0
2024-09-17,1411.24,1416.28,1402.93,1404.8,1404.8,0,0,0
2024-09-18,1404.75,1405.3,1398.42,1400.41,1400.41,0,0,0
2024-09-19,1400.57,1423.32,1400.57,1411.02,1411.02,0,0,0
2024-09-20,1411.03,1416.5,1403.63,1407.43,1407.43,0,0,0
2024-09-23,1407.43,1414.4,1401.7,1412.29,1412.29,0,0,0
2024-09-24,1412.37,1422.86,1411.45,1412.36,1412.36,0,0,0
2024-09-25,1413.2,1413.66,1401.83,1404.42,1404.42,0,0,0
2024-09-26,1404.67,1406.74,1392.47,1393.83,1393.83,0,0,0
