date,open,high,low,last,close,number_of_shares,number_of_trades,turnover,vwap
2024-05-13,193.8,195.2,192.8,193.6,193.6,44637,310,8649530,193.7749
2024-05-14,193.0,194.4,190.4,193.2,193.2,168129,288,32464672,193.0938
2024-05-15,193.0,196.6,193.0,196.4,196.4,57271,415,11230501,196.094
2024-05-16,196.4,196.6,193.8,196.6,196.6,28007,191,5492173,196.1
2024-05-17,0.0,0.0,0.0,0.0,196.6,0,0,0,0.0
2024-05-20,0.0,0.0,0.0,0.0,196.6,0,0,0,0.0
2024-05-21,197.2,202.0,197.2,200.0,200.0,75228,464,15068819,200.3087
2024-05-22,201.0,201.0,198.2,199.8,199.8,47808,385,9539868,199.5454
2024-05-23,199.8,201.0,199.8,200.5,200.5,31276,182,6268091,200.4122
2024-05-24,200.0,201.5,198.6,201.5,201.5,55848,301,11211486,200.75
2024-05-27,200.0,201.5,199.8,201.5,201.5,41615,191,8373353,201.21
2024-05-28,200.0,203.5,191.2,194.0,194.0,123400,455,24302460,196.9405
2024-05-29,194.4,195.6,192.2,192.2,192.2,49283,309,9516945,193.109
2024-05-30,191.4,194.8,191.4,193.8,193.8,42549,266,8243020,193.7301
2024-05-31,193.8,193.8,192.2,192.4,192.4,78313,218,15070516,192.4395
2024-06-03,193.4,193.4,189.0,189.0,189.0,36033,223,6850932,190.1294
2024-06-04,192.0,192.0,186.8,189.0,189.0,26623,208,5022891,188.6674
2024-06-05,190.0,190.4,186.8,187.0,187.0,19088,106,3585588,187.8452
2024-06-06,188.0,189.6,187.0,189.2,189.2,73224,148,13775992,188.1349
2024-06-07,189.2,191.6,187.8,191.6,191.6,87592,190,16659240,190.1913
2024-06-10,191.6,192.6,190.4,192.6,192.6,25013,186,4808347,192.2339
2024-06-11,192.8,194.0,191.8,192.8,192.8,30179,243,5817350,192.7615
2024-06-12,192.8,194.4,192.8,194.4,194.4,70484,142,13663757,193.8561
2024-06-13,195.0,195.0,190.4,190.6,190.6,35309,213,6743701,190.991
2024-06-14,193.6,194.0,190.6,191.6,191.6,48852,274,9363614,191.6731
2024-06-17,190.6,193.6,190.4,192.0,192.0,55197,358,10550298,191.139
2024-06-18,195.0,195.0,191.2,192.6,192.6,18431,156,3549251,192.5696
2024-06-19,192.0,194.6,192.0,193.6,193.6,22167,195,4288990,193.4854
2024-06-20,193.6,194.6,193.2,193.2,193.2,25893,161,5008326,193.4239
2024-06-21,193.2,199.4,192.4,199.4,199.4,117754,366,23422182,198.9077
2024-06-24,199.0,199.0,192.2,194.8,194.8,38725,276,7542649,194.7715
2024-06-25,195.0,195.6,191.8,193.4,193.4,19574,168,3785933,193.4164
2024-06-26,194.0,194.6,191.8,192.8,192.8,15172,137,2925007,192.7898
2024-06-27,192.8,196.2,192.8,196.0,196.0,44754,206,8752049,195.559
2024-06-28,196.4,196.4,192.4,192.4,192.4,19763,166,3812621,192.9171
2024-07-01,194.2,194.2,191.0,191.4,191.4,18617,179,3566521,191.5734
2024-07-02,191.2,191.8,190.4,190.4,190.4,18461,187,3520044,190.6746
2024-07-03,195.0,195.0,189.6,190.6,190.6,41425,178,7886853,190.3887
2024-07-04,191.0,191.2,189.8,189.8,189.8,27378,168,5210916,190.3322
2024-07-05,189.8,191.0,189.4,191.0,191.0,60367,187,11497367,190.4578
2024-07-08,195.0,195.0,190.0,191.8,191.8,38853,208,7448849,191.7188
2024-07-09,192.0,193.0,189.6,190.8,190.8,31899,276,6101811,191.2853
2024-07-10,190.6,192.4,188.6,189.4,189.4,22075,195,4192675,189.9287
2024-07-11,191.0,192.2,190.0,191.2,191.2,24331,154,4650032,191.1155
2024-07-12,193.0,193.0,188.8,190.6,190.6,33784,175,6436843,190.5293
2024-07-15,190.6,192.2,189.6,190.6,190.6,14887,186,2841730,190.8867
2024-07-16,191.0,191.2,188.0,190.0,190.0,31142,169,5912516,189.8567
2024-07-17,189.4,190.2,181.4,190.0,190.0,94827,611,17834112,188.07
2024-07-18,188.6,188.6,184.2,186.0,186.0,32026,242,5963535,186.2092
2024-07-19,186.0,186.4,184.0,185.6,185.6,20751,188,3846164,185.3483
2024-07-22,184.2,185.8,184.2,185.0,185.0,29557,159,5466266,184.9398
2024-07-23,186.0,186.8,183.6,186.6,186.6,26240,219,4882555,186.073
2024-07-24,186.4,187.0,185.0,186.0,186.0,31844,221,5924708,186.0541
2024-07-25,185.0,185.0,181.4,182.8,182.8,36264,263,6642677,183.1755
2024-07-26,183.0,184.6,181.8,183.0,183.0,45544,362,8329772,182.8951
2024-07-29,183.0,186.0,183.0,186.0,186.0,18964,179,3515974,185.4026
2024-07-30,186.2,186.6,184.8,185.4,185.4,16271,110,3018206,185.496
2024-07-31,184.6,187.0,184.6,187.0,187.0,32883,157,6135513,186.5862
2024-08-01,189.2,194.8,189.2,192.4,192.4,55213,378,10612189,192.2045
2024-08-02,192.0,192.0,185.0,185.0,185.0,44024,343,8230612,186.9574
2024-08-05,181.0,182.2,176.6,181.0,181.0,37575,252,6774721,180.2986
2024-08-06,181.0,185.6,179.0,182.2,182.2,26759,218,4867794,181.9124
2024-08-07,185.4,185.4,182.8,183.4,183.4,32299,243,5928690,183.5565
2024-08-08,183.4,185.4,182.0,184.6,184.6,16360,184,3013903,184.2239
2024-08-09,185.4,188.6,185.4,188.6,188.6,26596,210,4994602,187.7952
2024-08-12,188.6,190.0,187.2,189.0,189.0,22524,236,4255132,188.9155
2024-08-13,188.0,190.0,185.0,187.8,187.8,20152,213,3776262,187.3889
2024-08-14,187.2,188.6,187.2,188.4,188.4,18578,171,3495662,188.1614
2024-08-15,190.0,190.2,186.4,190.2,190.2,23749,193,4499939,189.4791
2024-08-16,190.0,193.0,188.0,189.0,189.0,33204,197,6297525,189.6616
2024-08-19,186.0,190.0,185.8,189.4,189.4,47983,173,9020381,187.9912
2024-08-20,189.4,189.4,186.2,186.6,186.6,21013,250,3928432,186.9525
2024-08-21,186.6,190.0,186.6,190.0,190.0,27697,215,5239062,189.1563
2024-08-22,190.0,190.6,189.2,190.4,190.4,14219,138,2698138,189.7558
2024-08-23,190.4,190.6,188.8,190.6,190.6,52886,176,10054802,190.1222
2024-08-26,188.2,193.0,188.2,193.0,193.0,24938,201,4789553,192.0584
2024-08-27,190.2,192.6,190.0,190.8,190.8,35443,250,6767937,190.9527
2024-08-28,190.0,194.6,190.0,193.0,193.0,52870,242,10190242,192.7415
2024-08-29,193.0,195.0,193.0,194.0,194.0,41757,213,8108114,194.1738
2024-08-30,193.8,198.0,193.8,197.2,197.2,345730,245,67580844,195.4729
2024-09-02,198.6,199.8,195.6,199.6,199.6,30280,218,6016727,198.703
2024-09-03,199.8,199.8,197.4,197.4,197.4,113058,513,22454537,198.6108
2024-09-04,197.0,197.8,194.6,194.6,194.6,141232,201,27680617,195.9939
2024-09-05,192.6,196.6,192.6,194.6,194.6,26236,214,5099840,194.3833
2024-09-06,192.0,197.2,192.0,196.0,196.0,23416,192,4583078,195.7242
2024-09-09,197.0,197.0,193.8,196.0,196.0,57691,213,11278781,195.5033
2024-09-10,196.0,197.2,195.6,195.6,195.6,75897,272,14854228,195.7156
2024-09-11,192.6,196.8,192.6,194.6,194.6,46259,234,9007758,194.7244
2024-09-12,192.8,197.0,192.8,193.0,193.0,66212,218,12800670,193.3285
2024-09-13,196.8,196.8,192.0,193.2,193.2,57805,272,11194111,193.653
2024-09-16,193.2,193.2,189.6,191.4,191.4,50698,371,9706368,191.4547
2024-09-17,191.0,198.0,191.0,198.0,198.0,183569,473,35796316,195.002
2024-09-18,198.0,198.0,194.0,194.0,194.0,84686,299,16540130,195.3113
2024-09-19,194.0,196.8,187.8,188.0,188.0,175251,656,33431934,190.766
2024-09-20,188.2,189.2,183.0,186.6,186.6,363853,401,67649846,185.9263
2024-09-23,186.6,191.6,185.8,191.6,191.6,64578,382,12275635,190.09
2024-09-24,193.0,193.0,190.0,192.0,192.0,35954,196,6890886,191.6584
2024-09-25,192.0,194.6,191.4,194.0,194.0,31266,203,6057647,193.7455
2024-09-26,195.8,197.8,194.0,194.4,194.4,53930,300,10532325,195.2962
2024-09-27,191.2,195.0,191.2,194.2,194.2,86365,409,16709186,193.4717
2024-09-30,194.0,199.8,194.0,198.4,198.4,72895,337,14443955,198.1474
2024-10-01,193.2,198.8,193.0,197.8,197.8,57720,339,11360616,196.8229
2024-10-02,195.0,197.6,194.6,194.8,194.8,34223,251,6676145,195.0777
2024-10-03,195.0,198.0,194.8,195.2,195.2,44127,292,8628916,195.5473
2024-10-04,198.2,198.2,194.6,196.0,196.0,34558,286,6769559,195.8898
2024-10-07,197.4,202.0,197.2,199.4,199.4,63381,303,12622860,199.1584
2024-10-08,200.0,204.0,199.2,199.4,199.4,83200,352,16722984,200.9974
2024-10-09,200.0,206.5,199.8,205.0,205.0,63001,306,12892012,204.6319
2024-10-10,208.0,208.0,203.0,206.0,206.0,67208,393,13804337,205.3972
2024-10-11,206.0,206.0,202.5,205.5,205.5,41233,264,8449189,204.9133
2024-10-14,204.0,207.5,203.0,203.0,203.0,46009,322,9416344,204.6631
2024-10-15,203.0,209.0,203.0,208.5,208.5,108793,548,22603556,207.7666
2024-10-16,205.0,207.0,200.5,200.5,200.5,67065,377,13500682,201.3074
2024-10-17,200.0,202.5,200.0,201.0,201.0,52047,245,10466623,201.0995
2024-10-18,209.5,209.5,202.5,203.5,203.5,43027,329,8765744,203.7266
2024-10-21,204.0,207.5,203.5,206.5,206.5,36000,306,7416700,206.0194
2024-10-22,205.0,206.5,201.0,202.0,202.0,38664,322,7822794,202.3276
2024-10-23,201.0,204.5,201.0,203.0,203.0,73018,257,14795254,202.6247
2024-10-24,207.0,207.0,201.5,203.0,203.0,117056,240,23740884,202.8165
2024-10-25,203.0,204.0,202.5,203.0,203.0,55781,191,11331139,203.1362
2024-10-28,204.0,204.5,202.0,204.5,204.5,48673,305,9922237,203.855
2024-10-29,204.5,205.5,203.0,205.0,205.0,38526,274,7888643,204.7615
2024-10-30,202.5,204.0,200.5,200.5,200.5,114494,465,23017482,201.0366
2024-10-31,201.5,202.0,192.0,194.0,194.0,110009,651,21503411,195.4696
2024-11-01,195.4,195.4,188.2,188.8,188.8,82358,808,15673414,190.3083
2024-11-04,188.8,188.8,185.8,186.2,186.2,60980,406,11378117,186.5877
2024-11-05,185.8,186.8,183.8,185.2,185.2,66233,370,12266423,185.2011
2024-11-06,186.0,189.0,182.0,182.0,182.0,90408,510,16606379,183.6826
2024-11-07,180.2,182.4,179.0,181.4,181.4,175804,793,31854710,181.1945
2024-11-08,181.0,182.0,179.6,180.4,180.4,88957,534,16074107,180.6952
