date,EQNR,DNB,MOWI,TEL,YAR,AKRBP,ORK,NHY,KOG,GJF,SALM,TOM,STB,SUBC,NOD,VAR,FRO,MPCC,ELK,BRG
2024-05-13,288.47712,206.5,198.7,126.5,314.3,275.3,76.736897,67.82,136.18527,181.86627,678.0,136.9,111.5,187.3,131.4,35.86,287.2,19.76,20.74,193.6
2024-05-14,288.89778,203.6,198.8,127.7,317.9,274.1,76.690277,67.8,134.64873,181.08405,656.0,142.5,110.8,187.4,132.5,35.62,288.0,19.6,21.34,193.2
2024-05-15,282.7302,201.0,198.6,128.0,318.6,267.4,76.550416,66.96,137.15571,179.71517,661.0,145.5,110.9,185.2,133.0,34.84,288.6,19.87,21.64,196.4
2024-05-16,282.82486,203.4,198.4,128.0,323.0,264.4,76.736897,67.16,139.66268,179.61739,672.0,143.9,111.4,188.6,132.95,35.65,292.8,20.11,21.62,196.6
2024-05-17,282.82486,203.4,198.4,128.0,323.0,264.4,76.736897,67.16,139.66268,179.61739,672.0,143.9,111.4,188.6,132.95,35.65,292.8,20.11,21.62,196.6
2024-05-20,282.82486,203.4,198.4,128.0,323.0,264.4,76.736897,67.16,139.66268,179.61739,672.0,143.9,111.4,188.6,132.95,35.65,292.8,20.11,21.62,196.6
2024-05-21,289.4506,200.7,196.55,127.5,327.0,265.0,77.38958,71.44,141.60356,177.46628,667.5,136.3,110.1,188.9,133.95,36.53,305.8,20.8,21.66,200.0
2024-05-22,287.84149,201.9,195.75,126.9,329.0,260.7,77.576061,69.0,143.46358,179.51961,663.0,139.1,110.7,186.3,137.15,36.24,301.1,20.2,21.12,199.8
2024-05-23,293.852,201.5,195.05,123.9,325.8,264.0,76.690277,68.58,146.3749,179.51961,661.0,135.9,111.3,184.8,136.05,37.08,300.2,19.02,20.6,200.5
2024-05-24,285.85377,205.4,192.6,123.7,328.0,261.9,76.969998,68.86,146.3749,180.20405,656.0,135.3,112.2,185.0,135.0,36.53,304.4,19.81,20.66,201.5
2024-05-27,287.41555,206.8,193.75,124.2,331.9,265.5,76.923378,69.0,146.29403,180.0085,662.0,137.3,111.8,188.4,131.8,36.85,309.8,20.15,21.06,201.5
2024-05-28,285.52248,206.7,192.0,123.5,334.3,266.2,76.736897,70.92,144.19141,179.42183,656.0,137.3,111.8,189.3,132.05,36.89,304.3,21.55,21.22,194.0
2024-05-29,284.43397,203.6,188.05,122.7,325.0,264.2,78.321985,69.48,143.14009,178.54184,633.0,133.5,111.0,189.2,131.1,36.94,305.9,22.13,21.06,192.2
2024-05-30,282.06763,204.1,187.3,123.3,326.0,265.4,78.321985,69.6,143.9488,179.1285,629.0,138.0,112.2,193.0,130.5,37.18,296.7,21.97,21.5,193.8
2024-05-31,286.65832,205.2,187.8,122.4,324.9,268.9,77.902403,70.92,145.80881,179.61739,638.5,137.8,113.4,193.8,134.5,37.15,300.8,22.51,21.76,192.4
2024-06-03,287.60486,205.0,188.3,125.9,325.8,266.0,79.114529,71.02,147.9923,178.34628,640.5,134.5,113.4,191.8,134.35,37.2,291.5,22.35,21.76,189.0
2024-06-04,276.48307,203.3,186.4,126.4,325.4,257.3,79.627351,69.56,142.49313,179.1285,625.0,135.8,113.1,185.0,131.8,35.25,291.4,22.8,21.0,189.0
2024-06-05,278.94406,202.9,185.45,126.1,311.1,257.4,80.093553,67.54,144.43402,180.8885,619.5,135.6,112.5,188.6,133.6,35.32,286.1,23.02,20.6,187.0
2024-06-06,278.56544,203.8,187.4,126.0,312.1,256.4,81.259059,68.76,146.3749,181.47516,626.5,138.8,113.5,189.4,137.5,35.0,285.8,22.7,20.36,189.2
2024-06-07,282.20961,202.5,187.5,125.9,316.3,258.8,82.191464,67.7,150.74189,181.08405,601.0,140.3,113.2,188.3,142.95,35.27,283.0,22.35,20.04,191.6
2024-06-10,283.15614,202.2,184.25,124.8,315.8,259.4,80.839477,68.64,149.28622,179.91072,593.0,138.1,109.8,190.2,142.45,35.17,285.2,22.39,20.2,192.6
2024-06-11,282.39891,202.6,185.1,123.4,311.1,260.5,80.746237,66.52,147.9923,179.03072,589.0,136.5,108.5,188.1,141.5,35.12,275.4,21.22,20.16,192.8
2024-06-12,282.58822,204.5,185.2,123.4,306.3,263.0,81.3523,67.34,148.801,181.96405,585.0,136.6,109.5,192.2,147.05,35.15,274.9,21.76,20.2,194.4
2024-06-13,275.63118,202.9,186.9,123.7,302.9,256.2,83.590071,66.8,147.83056,184.31071,595.5,132.2,107.8,189.8,148.0,34.23,264.4,20.53,19.86,190.6
2024-06-14,274.21138,205.7,189.45,122.9,298.2,255.1,84.102893,64.84,140.9566,184.7996,605.0,133.9,108.3,188.2,144.35,33.86,262.2,19.955,20.06,191.6
2024-06-17,273.31217,208.2,188.75,123.0,300.4,255.8,83.123868,63.34,140.30964,185.28849,606.0,133.5,109.2,188.9,144.5,34.06,257.8,20.99,19.69,192.0
2024-06-18,274.87396,207.5,188.55,123.2,300.6,261.2,83.170489,64.1,141.19921,186.65737,607.0,138.3,109.4,191.7,143.2,34.6,259.6,21.08,19.85,192.6
2024-06-19,274.11673,209.3,188.6,123.5,297.7,261.2,82.844147,64.02,141.44182,189.49292,604.0,137.4,109.0,191.5,141.75,36.32,268.4,21.03,20.2,193.6
2024-06-20,277.28762,209.3,184.1,122.6,299.0,267.6,82.564426,65.1,141.36095,190.17737,604.0,138.5,108.9,195.5,138.0,36.64,265.4,20.58,20.7,193.2
2024-06-21,277.24029,208.5,183.3,123.1,300.5,263.6,82.424565,64.82,144.27228,189.5907,602.5,137.4,108.6,196.3,137.95,35.93,270.6,20.35,20.66,199.4
2024-06-24,278.23416,211.0,184.9,122.6,305.5,265.9,82.191464,66.38,141.7653,189.68848,601.0,137.5,110.4,197.0,139.9,35.84,274.8,21.06,20.8,194.8
2024-06-25,280.45852,210.2,183.0,122.6,306.1,267.0,82.424565,64.7,140.87573,190.4707,594.5,133.5,110.5,196.2,136.1,36.05,272.5,21.1,20.02,193.4
2024-06-26,282.77753,207.2,180.0,121.7,308.3,269.2,81.072578,65.72,138.36876,186.85293,584.0,129.0,109.3,195.6,135.95,37.07,275.9,21.75,19.93,192.8
2024-06-27,285.85377,207.5,177.95,121.6,304.9,270.5,81.072578,66.02,140.71399,186.5596,561.0,128.9,108.7,198.6,139.75,37.47,278.3,22.81,20.16,196.0
2024-06-28,287.69951,209.7,177.7,121.7,307.6,272.2,80.886097,66.5,140.71399,186.5596,562.0,127.4,109.0,200.8,142.6,37.72,279.7,22.51,20.24,192.4
2024-07-01,289.16664,212.2,178.05,122.6,307.1,275.4,79.627351,66.8,145.80881,188.51515,554.0,131.6,109.2,201.6,141.25,38.13,262.5,22.03,20.48,191.4
2024-07-02,289.87655,212.5,177.85,120.7,303.2,278.3,78.834807,66.28,142.574,188.22181,559.0,132.0,108.2,201.4,140.45,38.6,268.1,23.04,20.06,190.4
2024-07-03,289.40328,211.2,176.2,121.0,298.2,275.2,78.881427,67.62,142.00791,188.22181,554.5,130.5,108.8,201.8,143.5,38.0,268.4,23.29,20.48,190.6
