rebalance_date,asof_date,symbol,score,selected
2000-01-31,1999-11-02,SUBC,0.0,True
2000-01-31,1999-11-02,FRO,0.0,True
2000-02-29,1999-12-01,FRO,0.0,True
2000-02-29,1999-12-01,SUBC,0.0,True
2000-03-31,2000-01-01,SUBC,0.0,True
2000-03-31,2000-01-01,FRO,0.0,True
2000-04-28,2000-01-29,SUBC,0.0,True
2000-04-28,2000-01-29,FRO,0.0,True
2000-05-31,2000-03-02,FRO,0.0,True
2000-05-31,2000-03-02,SUBC,0.0,True
2000-06-30,2000-04-01,KOG,0.8792621715638194,True
2000-06-30,2000-04-01,ATEA,0.8760431154259511,True
2000-06-30,2000-04-01,ORK,0.004508476111154876,True
2000-06-30,2000-04-01,STB,0.003287219995939037,True
2000-06-30,2000-04-01,SUBC,0.0,True
2000-06-30,2000-04-01,VEI,-0.00641152608474208,False
2000-06-30,2000-04-01,FRO,-0.11476082858664292,False
2000-06-30,2000-04-01,MOWI,-0.8002368426356741,False
2000-06-30,2000-04-01,DNB,-1.309351899760089,False
2000-07-31,2000-05-02,KOG,0.8792621715638194,True
2000-07-31,2000-05-02,ATEA,0.8760431154259511,True
2000-07-31,2000-05-02,ORK,0.004508476111154876,True
2000-07-31,2000-05-02,STB,0.003287219995939037,True
2000-07-31,2000-05-02,SUBC,0.0,True
2000-07-31,2000-05-02,VEI,-0.00641152608474208,False
2000-07-31,2000-05-02,FRO,-0.11476082858664292,False
2000-07-31,2000-05-02,MOWI,-0.8002368426356741,False
2000-07-31,2000-05-02,DNB,-1.309351899760089,False
2000-08-31,2000-06-02,KOG,0.8792621715638194,True
2000-08-31,2000-06-02,ATEA,0.8760431154259511,True
2000-08-31,2000-06-02,ORK,0.004508476111154876,True
2000-08-31,2000-06-02,STB,0.003287219995939037,True
2000-08-31,2000-06-02,SUBC,0.0,True
2000-08-31,2000-06-02,VEI,-0.00641152608474208,False
2000-08-31,2000-06-02,FRO,-0.11476082858664292,False
2000-08-31,2000-06-02,MOWI,-0.8002368426356741,False
2000-08-31,2000-06-02,DNB,-1.309351899760089,False
2000-09-29,2000-07-01,ATEA,1.0152122016858716,True
2000-09-29,2000-07-01,EQNR,0.501665530656051,True
2000-09-29,2000-07-01,VEI,0.05419810233754664,True
2000-09-29,2000-07-01,STB,0.05208686729697841,True
2000-09-29,2000-07-01,SUBC,0.0,True
2000-09-29,2000-07-01,ORK,-0.03824675481688259,False
2000-09-29,2000-07-01,FRO,-0.09757417120653844,False
2000-09-29,2000-07-01,MOWI,-0.914535249289147,False
2000-09-29,2000-07-01,DNB,-1.4377956896559656,False
2000-10-31,2000-08-02,ATEA,1.0152122016858716,True
2000-10-31,2000-08-02,EQNR,0.501665530656051,True
2000-10-31,2000-08-02,VEI,0.05419810233754664,True
2000-10-31,2000-08-02,STB,0.05208686729697841,True
2000-10-31,2000-08-02,SUBC,0.0,True
2000-10-31,2000-08-02,ORK,-0.03824675481688259,False
2000-10-31,2000-08-02,FRO,-0.09757417120653844,False
2000-10-31,2000-08-02,MOWI,-0.914535249289147,False
2000-10-31,2000-08-02,DNB,-1.4377956896559656,False
2000-11-30,2000-09-01,ATEA,1.0152122016858716,True
2000-11-30,2000-09-01,EQNR,0.501665530656051,True
2000-11-30,2000-09-01,VEI,0.05419810233754664,True
2000-11-30,2000-09-01,STB,0.05208686729697841,True
2000-11-30,2000-09-01,SUBC,0.0,True
2000-11-30,2000-09-01,ORK,-0.03824675481688259,False
2000-11-30,2000-09-01,FRO,-0.09757417120653844,False
2000-11-30,2000-09-01,MOWI,-0.914535249289147,False
2000-11-30,2000-09-01,DNB,-1.4377956896559656,False
2000-12-29,2000-09-30,TOM,0.7403193286096876,True
2000-12-29,2000-09-30,EQNR,0.5730592358388226,True
2000-12-29,2000-09-30,ORK,0.499160129867816,True
2000-12-29,2000-09-30,FRO,0.42138863323110864,True
2000-12-29,2000-09-30,ATEA,0.30162581840527486,True
2000-12-29,2000-09-30,NOD,0.21752759979477349,False
2000-12-29,2000-09-30,STB,0.06966793548045966,False
2000-12-29,2000-09-30,SUBC,0.0,False
2000-12-29,2000-09-30,VEI,-0.06178951645209867,False
2000-12-29,2000-09-30,KOG,-0.22460781027415122,False
2000-12-29,2000-09-30,TEL,-0.6484042971724735,False
2000-12-29,2000-09-30,MOWI,-0.7803627971206941,False
2000-12-29,2000-09-30,DNB,-0.8526158696041739,False
2001-01-31,2000-11-02,TOM,0.7403193286096876,True
2001-01-31,2000-11-02,EQNR,0.5730592358388226,True
2001-01-31,2000-11-02,ORK,0.499160129867816,True
2001-01-31,2000-11-02,FRO,0.42138863323110864,True
2001-01-31,2000-11-02,ATEA,0.30162581840527486,True
2001-01-31,2000-11-02,NOD,0.21752759979477349,False
2001-01-31,2000-11-02,STB,0.06966793548045966,False
2001-01-31,2000-11-02,SUBC,0.0,False
2001-01-31,2000-11-02,VEI,-0.06178951645209867,False
2001-01-31,2000-11-02,KOG,-0.22460781027415122,False
2001-01-31,2000-11-02,TEL,-0.6484042971724735,False
2001-01-31,2000-11-02,MOWI,-0.7803627971206941,False
2001-01-31,2000-11-02,DNB,-0.8526158696041739,False
2001-02-28,2000-11-30,TOM,0.7403193286096876,True
2001-02-28,2000-11-30,EQNR,0.5730592358388226,True
