ticker,company,period_end_date,total_assets,total_liabilities,common_equity,tangible_book_value,net_debt,debt_total,cash,shares_outstanding,working_capital,operating_cash_flow,free_cash_flow,dividends_paid,capex,ebit,ebitda,eps,ebit_ttm,ebitda_ttm,eps_ttm,operating_cash_flow_ttm,capex_ttm,free_cash_flow_ttm,equity_used,net_income_ttm_used,roe_ttm,ebit_margin_ttm,fcf_to_assets_ttm,debt_to_equity,net_debt_to_ebitda_ttm,asset_turnover_ttm,revenue_growth_yoy,eps_growth_yoy
AFG,AF Gruppen ASA (AFGA.OL),2001-03-31,921.75,653.03,268.72,216.06,82.38,210.04,96.32,67.07,113.41,57.6,57.6,,,24.49,35.17,0.21,,,,,,,268.72,,,,,0.7816314379279546,,,,
AFG,AF Gruppen ASA (AFGA.OL),2001-06-30,1000.01,716.79,283.22,232.41,50.79,229.86,147.74,67.07,112.85,78.6,78.6,,,19.44,28.39,0.21,,,,,,,283.22,,,,,0.8115952263258244,,,,
AFG,AF Gruppen ASA (AFGA.OL),2001-09-30,1126.76,831.5,295.26,246.3,129.4,268.55,107.82,67.07,127.69,-67.9,-67.9,,,18.85,28.73,0.18,62.78,92.29,0.6,68.29999999999998,,68.29999999999998,295.26,40.242,0.1362934362934363,,0.06061628030814014,0.909537356905778,1.4021020695633328,,,
AFG,AF Gruppen ASA (AFGA.OL),2001-12-31,1256.37,963.25,293.13,219.02,137.92,301.76,132.5,335.33,214.96,,,,,35.32,41.65,0.2,98.1,133.94,0.8,68.29999999999998,,68.29999999999998,293.13,268.264,0.9151707433561901,,0.05436296632361485,1.029440862415993,1.0297147976705987,,,
AFG,AF Gruppen ASA (AFGA.OL),2002-03-31,1248.16,951.47,296.69,225.92,254.91,347.87,61.62,67.07,151.47,-92.3,-92.3,,,10.73,19.72,0.06,84.34,118.49,0.65,-81.60000000000002,,-81.60000000000002,296.69,43.595499999999994,0.14693956655094542,,-0.06537623381617742,1.1725032862583842,2.151320786564267,,,
AFG,AF Gruppen ASA (AFGA.OL),2002-06-30,1410.85,1104.42,306.43,237.52,152.25,308.46,124.88,67.07,160.12,144.5,144.5,,,13.3,22.38,0.13,78.20000000000002,112.47999999999999,0.5700000000000001,-15.700000000000017,,-15.700000000000017,306.43,38.2299,0.12475899879254643,,-0.01112804337810541,1.00662467774043,1.3535739687055477,,,
AFG,AF Gruppen ASA (AFGA.OL),2002-09-30,1627.01,1296.72,330.29,263.97,35.42,355.35,293.42,67.07,209.13,151.53,151.53,,,40.81,55.99,0.38,100.16,139.74,0.77,203.73,,203.73,330.29,51.643899999999995,0.15635926004420356,,0.12521742337170638,1.07587271791456,0.2534707313582367,,,0.28333333333333344
AFG,AF Gruppen ASA (AFGA.OL),2002-12-31,1502.25,1176.71,325.55,257.41,136.38,395.06,236.31,334.88,263.36,-101.84,-101.84,,,35.1,48.19,0.29,99.94000000000001,146.28,0.8600000000000001,101.88999999999999,,101.88999999999999,325.55,287.9968,0.8846469052372907,,0.06782492927275752,1.2135155890032252,0.9323215750615258,,,0.07499999999999996
AFG,AF Gruppen ASA (AFGA.OL),2003-03-31,1521.57,1206.9,314.67,248.88,138.01,428.87,268.49,66.98,251.3,35.4,35.4,,,-4.06,14.14,-0.15,85.15,140.7,0.65,229.59,,229.59,314.67,43.537000000000006,0.13835764451647758,,0.15089019893925354,1.3629198843232593,0.9808813077469795,,,0.0
AFG,AF Gruppen ASA (AFGA.OL),2003-06-30,1542.92,1203.72,339.21,275.75,173.79,426.95,241.85,334.88,271.91,-6.7,-6.7,,,50.6,70.05,0.4,122.44999999999999,188.37,0.92,78.39,,78.39,339.21,308.0896,0.9082562424456827,,0.05080626344852617,1.258659827245659,0.9225991399904443,,,0.6140350877192982
