ticker,company,period_end_date,total_assets,total_liabilities,common_equity,tangible_book_value,net_debt,debt_total,cash,shares_outstanding,working_capital,operating_cash_flow,free_cash_flow,dividends_paid,capex,ebit,ebitda,eps,ebit_ttm,ebitda_ttm,eps_ttm,operating_cash_flow_ttm,capex_ttm,free_cash_flow_ttm,equity_used,net_income_ttm_used,roe_ttm,ebit_margin_ttm,fcf_to_assets_ttm,debt_to_equity,net_debt_to_ebitda_ttm,asset_turnover_ttm,revenue_growth_yoy,eps_growth_yoy,quality_score,growth_score,fundamental_score
YAR,Yara International ASA (YAR.OL),2026-03-31,17808.0,8694.0,9094.0,8254.0,3051.0,4269.0,1218.0,254.73,3421.0,525.0,279.0,0.0,242.0,600.0,885.0,1.28,1869.0,2983.0,5.510000000000002,2089.0,906.0,1159.0000000000002,9094.0,1403.5623000000003,0.1543393776116121,,0.0650831087151842,0.4694303936661535,1.022795843110962,,,3.963963963963961,0.08348822961795885,3.0462296857950153,0.824173593662223
VEI,Veidekke ASA (VEI.OL),2026-03-31,18959.0,15277.0,3600.0,1047.0,-4358.0,197.0,3124.0,134.96,-2154.0,893.0,793.0,0.0,100.0,20.0,289.0,0.1,2045.0,3157.0,11.72,3870.0,419.0,3451.0,3600.0,1581.7312000000002,0.4393697777777778,,0.18202436837385938,0.05472222222222222,-1.3804244535951853,,,0.3007769145394006,0.9518469771737275,0.20061500563152565,0.764038984288177
SUBC,Subsea 7 SA (SUBC.OL),2026-03-31,8422.2,3873.2,4514.1,4234.9,-198.3,875.4,1073.7,296.14,326.4,248.2,195.5,,52.7,202.0,375.7,0.34,861.3,1554.6999999999998,1.6600000000000004,1617.3999999999999,255.9,1359.8,4514.1,491.5924000000001,0.10890153075917682,,0.1614542518581843,0.19392569947497837,-0.12754872322634594,,,1.5937499999999987,0.6159719551561116,1.2050144925812658,0.7632325895124001
KOG,Kongsberg Gruppen ASA (KOG.OL),2026-03-31,84447.0,59963.0,23858.0,20106.0,-14082.0,4384.0,18466.0,879.59,11131.0,-122.0,-898.0,0.0,776.0,1491.0,1972.0,1.29,3137.0,4948.0,3.45,11054.0,3047.0,7906.0,23858.0,3034.5855,0.12719362477994803,,0.09362085094793184,0.18375387710621174,-2.845998383185125,,,0.8648648648648649,0.55558357101841,0.6388063757941896,0.5763892722123549
AFG,AF Gruppen ASA (AFGA.OL),2025-12-31,17092.0,13143.0,2901.0,-1825.0,-884.0,1507.0,2391.0,110.06,-2985.0,1109.0,,440.0,,601.0,814.0,3.85,1484.0,2256.0,9.97,2969.0,,1860.0,2901.0,1097.2982000000002,0.37824825922095834,,0.10882284109524924,0.5194760427438814,-0.39184397163120566,,,0.5314900153609832,0.4889645867972925,0.37983615315853103,0.4616824783876021
TEL,Telenor ASA (TEL.OL),2026-03-31,221582.0,140605.0,75766.0,41397.0,40009.0,97068.0,47617.0,,25648.0,5793.0,2803.0,0.0,2980.0,3910.0,7841.0,5.86,17714.0,33662.0,12.120000000000001,29215.0,11257.0,17877.0,75766.0,,,,0.08067893601465823,1.281155135548927,1.1885508882419344,,,1.646288209606987,0.06383572439018477,1.2458269049724477,0.35933351953575055
MPCC,MPC Container Ships ASA (MPCC.OL),2025-12-31,1526.59,592.41,929.58,929.58,86.87,503.95,345.48,443.7,341.7,68.01,49.64,22.18,18.37,52.55,77.05,0.1,221.72000000000003,304.49,0.53,285.03000000000003,21.74999999999997,141.69,929.58,235.161,0.2529755373394436,,0.09281470466857507,0.5421265517760708,0.28529672567243586,,,-0.11666666666666659,0.30810984005111425,-0.12366097776566556,0.20016713559691932
ATEA,Atea ASA (ATEA.OL),2026-03-31,18439.0,13857.0,4582.0,-435.0,1405.0,2195.0,790.0,111.31,-714.0,-447.0,-557.0,0.0,106.0,324.0,518.0,3.49,1428.0,2225.0,9.969999999999999,1638.0,421.0,1200.0,4582.0,1109.7606999999998,0.24220006547359227,,0.0650794511632952,0.4790484504583151,0.6314606741573033,,,0.48584202682563316,0.1509969897195754,0.344376160386245,0.19934178238624278
GJF,Gjensidige Forsikring ASA (GJFG.OL),2026-03-31,195252.7,173345.6,19181.4,11825.7,-6552.5,5348.7,11901.2,499.95,,6597.2,6508.1,0.0,89.1,2558.5,2619.1,3.01,9334.1,9798.199999999999,13.06,5162.9,-41.39999999999999,4920.3,19181.4,6529.347,0.3403999186712127,,0.02519965152850639,0.27884825925114953,-0.6687452797452594,,,0.1808318264014468,0.13166039019338724,0.10743999190338922,0.12560529062088774
ORK,Orkla ASA (ORK.OL),2025-12-31,88698.0,36551.0,48664.0,12715.0,14698.0,16742.0,2044.0,989.83,6826.0,3682.0,2861.0,843.0,821.0,2117.0,2841.0,1.59,7787.0,10519.0,6.380000000000001,9271.0,2444.0,6827.0,48664.0,6315.115400000001,0.12976975587703438,,0.07696904101558096,0.34403254972875225,1.3972811103717084,,,0.12720848056537104,0.1007356500229109,0.06578463058773075,0.09199789516411587
PROT,Protector Forsikring ASA (PROT.OL),2026-03-31,28313.0,20999.0,6614.0,6494.0,2041.0,2340.0,299.0,82.43,,673.0,649.0,495.0,24.0,1076.0,1076.0,1.8,3264.0,3264.0,24.61,1277.9999999999998,113.99999999999994,1164.0000000000002,6614.0,2028.6023,0.30671338070758997,,0.04111185674425177,0.3537949803447233,0.6253063725490197,,,0.10955816050495937,0.07353560144681379,0.05207361632724371,0.06817010516692126
VAR,Var Energi ASA (VAR.OL),2026-03-31,26914.3,26348.9,-234.1,-4486.5,5419.6,6115.3,695.7,2496.41,-1284.4,969.1,386.9,300.0,582.2,1308.3,2166.4,0.12,3950.0,7060.219999999999,0.27999999999999997,3975.7000000000003,2891.8,1083.9,-234.1,698.9947999999999,-2.9858812473302008,,0.04027227161769023,-26.122597180692015,0.7676248048927655,,,0.11999999999999988,0.021848522470209443,0.06018498256492077,0.03143263749388728
TOM,Tomra Systems ASA (TOM.OL),2026-03-31,1823.0,1187.0,598.0,102.0,588.0,679.0,91.0,295.4,279.0,60.0,60.0,,,18.0,50.0,-0.01,143.60000000000002,263.0,0.26,166.89999999999998,,166.9,598.0,76.804,0.12843478260869565,,0.09155238617663193,1.1354515050167224,2.23574144486692,,,-0.21212121212121227,0.05593925740993709,-0.19781139710514686,-0.0074984062188339015
FRO,Frontline PLC (FRO),2025-12-31,5753.63,3242.75,2511.35,2398.9,2814.33,3067.75,251.35,222.62,212.55,283.35,276.46,42.3,6.89,277.74,359.94,1.02,598.76,927.22,1.349999999999993,682.46,-24.61,669.9300000000001,2511.35,300.53699999999844,0.11967149142891212,,0.11643605862733614,1.2215541441853983,3.035234356463407,,,-0.3918918918918931,0.09089080382497602,-0.3374597629997517,-0.01619683788120592
MOWI,Mowi ASA (MOWI.OL),2025-12-31,10228.5,5663.5,4371.1,1637.1,3173.4,3462.7,289.3,527.29,2838.8,97.0,-77.6,68.9,166.3,163.0,284.1,1.02,623.7,1077.6999999999998,1.37,743.5999999999999,359.50000000000006,367.40000000000003,4371.1,722.3873,0.16526441856740864,,0.035919245246126025,0.7921804580082815,2.944604249791223,,,0.5393258426966294,-0.22815318237776755,0.38592313288320657,-0.074634103562524
