file,sheet,error
AFGA.xlsx,Balance Sheet,Length of values (2) does not match length of index (100)
AKERbp.xlsx,Balance Sheet,Length of values (2) does not match length of index (79)
ATEA.xlsx,Balance Sheet,Length of values (2) does not match length of index (105)
BRGB.xlsx,Balance Sheet,Length of values (2) does not match length of index (56)
DNB.xlsx,Balance Sheet,Length of values (2) does not match length of index (105)
ELK.xlsx,Balance Sheet,Length of values (2) does not match length of index (57)
EQNRol.xlsx,Balance Sheet,Length of values (2) does not match length of index (104)
FRO.xlsx,Balance Sheet,Length of values (2) does not match length of index (109)
Gjensidige.xlsx,Balance Sheet,Length of values (2) does not match length of index (66)
Hydro.xlsx,Balance Sheet,Length of values (2) does not match length of index (81)
KOG.xlsx,Balance Sheet,Length of values (2) does not match length of index (103)
MOWI.xlsx,Balance Sheet,Length of values (2) does not match length of index (104)
MPCC.xlsx,Balance Sheet,Length of values (2) does not match length of index (32)
NOD.xlsx,Balance Sheet,Length of values (2) does not match length of index (100)
Orkla.xlsx,Balance Sheet,Length of values (2) does not match length of index (104)
PROT.xlsx,Balance Sheet,Length of values (2) does not match length of index (81)
SALM.xlsx,Balance Sheet,Length of values (2) does not match length of index (80)
STB.xlsx,Balance Sheet,Length of values (2) does not match length of index (105)
SUBC.xlsx,Balance Sheet,Length of values (2) does not match length of index (108)
TOM.xlsx,Balance Sheet,Length of values (2) does not match length of index (103)
Telenor.xlsx,Balance Sheet,Length of values (2) does not match length of index (104)
VÅR.xlsx,Balance Sheet,Length of values (2) does not match length of index (21)
VEI.xlsx,Balance Sheet,Length of values (2) does not match length of index (105)
VEND.xlsx,Balance Sheet,Length of values (2) does not match length of index (103)
YARA.xlsx,Balance Sheet,Length of values (2) does not match length of index (87)
