ticker,period_end_date,fundamental_score,quality_score,growth_score
FRO,1997-09-30,,,
FRO,1997-12-31,,,
FRO,1998-03-31,0.0,0.0,
FRO,1998-06-30,0.0,0.0,
FRO,1998-09-30,0.0,0.0,
FRO,1998-12-31,0.0,0.0,
SUBC,1999-02-28,0.0,0.0,
FRO,1999-03-31,0.0,0.0,0.0
SUBC,1999-05-31,0.0,0.0,
FRO,1999-06-30,0.0,0.0,0.0
SUBC,1999-08-31,0.0,0.0,
FRO,1999-09-30,0.0,0.0,0.0
SUBC,1999-11-30,0.0,0.0,
FRO,1999-12-31,0.0,0.0,0.0
SUBC,2000-02-29,0.0,0.0,
KOG,2000-03-31,0.8792621715638194,1.1723495620850926,
ATEA,2000-03-31,0.8760431154259511,1.1680574872346015,
ELK,2000-03-31,0.6971817711435697,0.929575694858093,
ORK,2000-03-31,0.004508476111154876,0.006011301481539835,
STB,2000-03-31,0.003287219995939037,0.0043829599945853824,
VEI,2000-03-31,-0.00641152608474208,-0.008548701446322774,
FRO,2000-03-31,-0.11476082858664292,-0.1530144381155239,0.0
MOWI,2000-03-31,-0.8002368426356741,-1.0669824568475654,
DNB,2000-03-31,-1.309351899760089,-1.7458025330134521,
EQNR,2000-03-31,,,
NOD,2000-03-31,,,
TEL,2000-03-31,,,
SUBC,2000-05-31,0.0,0.0,
ATEA,2000-06-30,1.0152122016858716,1.3536162689144953,
ELK,2000-06-30,0.8630846592709596,1.1507795456946128,
EQNR,2000-06-30,0.501665530656051,0.668887374208068,
TEL,2000-06-30,0.19705284613420504,0.26273712817894007,
VEI,2000-06-30,0.05419810233754664,0.07226413645006219,
STB,2000-06-30,0.05208686729697841,0.06944915639597121,
ORK,2000-06-30,-0.03824675481688259,-0.05099567308917679,
FRO,2000-06-30,-0.09757417120653844,-0.13009889494205126,0.0
MOWI,2000-06-30,-0.914535249289147,-1.2193803323855292,
DNB,2000-06-30,-1.4377956896559656,-1.9170609195412875,
KOG,2000-06-30,,,
NOD,2000-06-30,,,
SUBC,2000-08-31,0.0,0.0,0.0
TOM,2000-09-30,0.7403193286096876,0.9870924381462503,
EQNR,2000-09-30,0.5730592358388226,0.7640789811184301,
ORK,2000-09-30,0.499160129867816,0.6655468398237546,
FRO,2000-09-30,0.42138863323110864,0.5618515109748116,0.0
ATEA,2000-09-30,0.30162581840527486,0.4021677578736998,
NOD,2000-09-30,0.21752759979477349,0.29003679972636465,
ELK,2000-09-30,0.1629071387820128,0.21720951837601704,
STB,2000-09-30,0.06966793548045966,0.09289058064061288,
VEI,2000-09-30,-0.06178951645209867,-0.08238602193613155,
KOG,2000-09-30,-0.22460781027415122,-0.29947708036553494,
TEL,2000-09-30,-0.6484042971724735,-0.8645390628966313,
MOWI,2000-09-30,-0.7803627971206941,-1.0404837294942588,
DNB,2000-09-30,-0.8526158696041739,-1.136821159472232,
VEND,2000-09-30,,,
SUBC,2000-11-30,0.0,0.0,0.0
NOD,2000-12-31,2.1740741767522467,2.898765569002996,
TOM,2000-12-31,0.7092721655946191,0.9456962207928256,
EQNR,2000-12-31,0.4104923676733315,0.5473231568977753,
FRO,2000-12-31,0.3183066921920135,0.4244089229226847,0.0
ORK,2000-12-31,0.30587493010348493,0.4078332401379799,
ELK,2000-12-31,-0.028223758513970125,-0.03763167801862683,
KOG,2000-12-31,-0.058917399427329736,-0.07855653256977298,
VEI,2000-12-31,-0.07522835513954335,-0.10030447351939113,
STB,2000-12-31,-0.08459642559979949,-0.11279523413306598,
TEL,2000-12-31,-0.19345392018376956,-0.2579385602450261,
ATEA,2000-12-31,-0.19456747418515996,-0.2594232989135466,
DNB,2000-12-31,-0.4240512435690411,-0.5654016580920548,
MOWI,2000-12-31,-0.9644454266006238,-1.2859272354674984,
VEND,2000-12-31,,,
SUBC,2001-02-28,0.0,0.0,0.0
EQNR,2001-03-31,0.47678949409777505,0.6357193254637,
TOM,2001-03-31,0.40934076855957224,0.545787691412763,
AFG,2001-03-31,0.3406168342111075,0.45415577894814335,
ORK,2001-03-31,0.28703684397471574,0.3827157919662877,
FRO,2001-03-31,0.08379900072327767,0.11173200096437023,0.0
ATEA,2001-03-31,0.033392346873529724,0.0445231291647063,
KOG,2001-03-31,0.022539992969726634,0.030053323959635513,
MOWI,2001-03-31,-0.003983079074128218,-0.005310772098837624,
VEND,2001-03-31,-0.024951803900908114,-0.03326907186787748,
ELK,2001-03-31,-0.04312255061737167,-0.05749673415649556,
VEI,2001-03-31,-0.043257006466119526,-0.0576760086214927,
STB,2001-03-31,-0.1174090270413545,-0.15654536938847266,
NOD,2001-03-31,-0.48131552319290155,-0.6417540309238687,
DNB,2001-03-31,-1.0698449633662228,-1.4264599511549638,
TEL,2001-03-31,,,
SUBC,2001-05-31,0.0,0.0,0.0
NOD,2001-06-30,2.102035840421873,2.8027144538958306,
EQNR,2001-06-30,0.655073908279309,0.8734318777057454,
AFG,2001-06-30,0.3474803305076374,0.4633071073435165,
TOM,2001-06-30,0.3020046738835487,0.4026728985113982,
ORK,2001-06-30,0.2549701924101032,0.3399602565468043,
TEL,2001-06-30,0.24315268129923476,0.32420357506564634,
ATEA,2001-06-30,-0.027967712516887663,-0.03729028335585022,
