ticker,company,statement,source_file,period_end_date,total_assets,total_liabilities,shareholders_equity,common_equity,tangible_book_value,net_debt,debt_total,cash,shares_outstanding,working_capital,revenue,ebit,ebitda,net_income,eps,operating_cash_flow,free_cash_flow,dividends_paid,capex
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2025-12-31,17092.0,13143.0,,2901.0,-1825.0,-884.0,1507.0,2391.0,110.06,-2985.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2025-09-30,16923.0,13290.0,,2735.0,-1940.0,-55.0,1571.0,1626.0,109.13,-3339.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2025-06-30,15636.0,12307.0,,2510.0,-2136.0,735.0,1666.0,931.0,109.23,-3665.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2025-03-31,15006.0,11374.0,,2771.0,-1867.0,127.0,1164.0,1037.0,109.23,-3309.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2024-12-31,15003.0,11515.0,,2606.0,-2012.0,278.0,1311.0,1033.0,109.29,-3426.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2024-09-30,15711.0,12660.0,,2273.0,-2347.0,1262.0,1784.0,522.0,108.39,-4346.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2024-06-30,14846.0,12002.0,,2078.0,-2508.0,1398.0,1809.0,411.0,108.48,-4458.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2024-03-31,15038.0,11750.0,,2450.0,-2090.0,1342.0,1690.0,348.0,108.48,-3866.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2023-12-31,14647.0,11444.0,,2323.0,-2216.0,990.0,1337.0,347.0,108.53,-3865.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2023-09-30,15009.0,12036.0,,2119.0,-2403.0,1725.0,2251.0,526.0,107.57,-3931.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2023-06-30,14872.0,11975.0,,2069.0,-2468.0,1902.0,2396.0,494.0,107.66,-3908.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2023-03-31,15180.0,11722.0,,2608.0,-1925.0,936.0,1613.0,677.0,107.66,-3079.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2022-12-31,14457.0,10963.0,,2576.0,-1885.0,640.0,1405.0,765.0,107.7,-2886.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2022-09-30,14695.0,11409.0,,2428.0,-2133.0,63.0,1099.0,1036.0,106.7,-2857.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2022-06-30,14085.0,10959.0,,2315.0,-2164.0,154.0,1240.0,1086.0,106.7,-2931.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2022-03-31,13574.0,9935.0,,2703.0,-1753.0,-21.0,953.0,974.0,106.86,-2587.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2021-12-31,13108.0,9536.0,,2654.0,-1681.0,319.0,999.0,680.0,106.8,-2575.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2021-09-30,13137.0,9758.0,,2525.0,-1832.0,517.0,1110.0,593.0,105.92,-2898.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2021-06-30,12547.0,9430.0,,2293.0,-2069.0,909.0,1114.0,205.0,105.95,-3291.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2021-03-31,12932.0,9379.0,,2732.0,-1601.0,489.0,1119.0,630.0,105.95,-2734.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2020-12-31,12862.0,9368.0,,2593.0,-1774.0,418.0,1126.0,708.0,105.86,-2841.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2020-09-30,13429.0,10234.0,,2379.0,-1992.0,209.0,1102.0,893.0,105.0,-3292.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2020-06-30,12674.0,9755.0,,2143.0,-2222.0,577.0,1138.0,561.0,105.01,-3441.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2020-03-31,13037.0,9992.0,,2285.0,-2081.0,467.0,1231.0,764.0,102.87,-3286.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2019-12-31,12854.0,9855.0,,2190.0,-2116.0,621.0,1184.0,563.0,103.04,-3296.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2019-09-30,10254.0,8022.0,,1831.0,-781.0,1064.0,1250.0,186.0,,-2217.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2019-06-30,10559.0,8703.0,,1495.0,-1111.0,1200.0,1570.0,370.0,99.61,-2490.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2019-03-31,10374.0,8062.0,,1964.0,-650.0,603.0,1008.0,405.0,99.61,-2025.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2018-12-31,8486.0,6362.0,,1746.0,-542.0,-557.0,99.0,656.0,98.79,-1510.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2018-09-30,7941.0,5885.0,,1688.0,-476.0,-386.0,107.0,493.0,97.82,-1523.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2018-06-30,7565.0,5762.0,,1466.0,-696.0,-264.0,104.0,368.0,97.82,-1740.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2018-03-31,7854.0,5727.0,,1816.0,-354.0,-766.0,113.0,879.0,97.82,-1339.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2017-12-31,7724.0,5646.0,,1694.0,-494.0,-977.0,121.0,1098.0,97.82,-1324.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2017-09-30,7765.0,5719.0,,1724.0,-456.0,-757.0,126.0,883.0,97.14,-1493.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2017-06-30,7034.0,5000.0,,1761.0,-414.0,-393.0,119.0,512.0,97.18,-1495.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2017-03-31,7140.0,4865.0,,2047.0,-119.0,-785.0,122.0,907.0,97.18,-1164.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2016-12-31,6549.0,4599.0,,1680.0,-352.0,-356.0,113.0,469.0,93.55,-1286.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2016-09-30,6577.0,4753.0,,1590.0,-441.0,-223.0,136.0,359.0,92.61,-1269.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2016-06-30,6401.0,4807.0,,1379.0,-699.0,-52.0,159.0,211.0,92.64,-1577.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2016-03-31,6461.0,4551.0,,1706.0,-375.0,-406.0,130.0,536.0,91.42,-1259.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2015-12-31,6243.0,4423.0,,1561.0,-516.0,-354.0,105.0,459.0,92.68,-1362.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2015-09-30,6508.0,4809.0,,1442.0,-630.0,-103.0,117.0,220.0,91.7,-1499.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2015-06-30,6745.0,5043.0,,1451.0,-630.0,116.0,234.0,118.0,91.81,-1500.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2015-03-31,6629.0,4750.0,,1682.0,-333.0,-182.0,212.0,377.0,91.43,-1111.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2014-12-31,5428.0,3929.0,,1362.0,4.0,224.0,315.0,91.0,88.67,-1003.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2014-09-30,5388.0,4080.0,,1188.0,-162.0,155.0,250.0,95.0,87.73,-988.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2014-06-30,5291.0,4091.0,,1095.0,-247.0,-285.0,270.0,555.0,87.75,-434.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2014-03-31,5402.0,3770.0,,1541.0,197.0,-795.0,173.0,968.0,88.09,29.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2013-12-31,5237.0,3903.0,,1228.0,-119.0,-616.0,79.0,695.0,82.25,-314.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2013-09-30,4991.0,3872.0,,1016.0,-326.0,-161.0,83.0,244.0,81.35,-363.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2013-06-30,4731.0,3734.0,,905.0,-406.0,3.0,144.0,141.0,81.38,-376.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2013-03-31,5133.0,3863.0,,1186.0,-126.0,-6.0,127.0,133.0,81.38,-120.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2012-12-31,4919.0,3717.0,,1102.0,-208.0,-181.0,141.0,322.0,81.34,-146.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2012-09-30,4677.0,3605.0,,985.0,-328.0,17.0,151.0,134.0,80.4,-224.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2012-06-30,4400.0,3312.0,,1017.0,-281.0,37.0,173.0,135.0,80.72,-235.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2012-03-31,4477.0,3105.0,,1306.0,8.0,-132.0,138.0,269.0,80.78,34.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2011-12-31,4591.0,3260.0,,1266.0,-34.0,-324.0,135.0,458.0,80.75,4.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2011-09-30,3409.0,2476.0,,932.0,472.0,-537.0,56.0,591.0,76.79,301.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2011-06-30,3212.0,2324.0,,887.0,425.0,-605.0,35.0,637.0,75.99,267.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2011-03-31,3304.0,2156.0,,1147.0,681.0,-740.0,53.0,790.0,70.67,530.0,,,,,,,,,
AFG,AF Gruppen ASA (AFGA.OL),Balance Sheet,AFGA.xlsx,2010-12-31,3013.0,2045.0,,967.0,500.0,-550.0,72.0,622.0,70.67,352.0,,,,,,,,,
