strategy,price_lookback,short_lookback,volume_fast,volume_slow,breakout_lookback,ma_days,risk_lookback,accumulation_lookback,liquidity_lookback,min_liquidity_quantile,top_n,strategy_total_return,strategy_annualized_return,strategy_max_drawdown,strategy_sharpe,equal_weight_total_return,osebx_total_return,excess_vs_osebx
liquidity_momentum,189,21,10,50,63,50,63,63,20,0.25,3,0.08071791432376996,0.039714403612560956,-0.05390057472972665,0.6489685067886599,0.37680370343265723,0.39099862331886404,-0.3102807089950941
risk_adjusted_momentum,189,21,5,20,63,50,63,63,20,0.25,3,0.07706013928728161,0.037947372377484134,-0.027938498816416635,0.7993005753907221,0.37680370343265723,0.39099862331886404,-0.3139384840315824
momentum_volume,21,21,20,100,63,50,63,63,20,0.25,10,0.07653264755297151,0.03769230031986681,-0.026871896876519252,0.6964597938661002,0.37680370343265723,0.39099862331886404,-0.3144659757658925
volume_trend_confirmation,21,21,20,100,63,50,63,63,20,0.25,10,0.073373692959809,0.03616346231623302,-0.03449461884508431,0.6577710621468509,0.37680370343265723,0.39099862331886404,-0.31762493035905504
momentum_volume,21,21,20,100,63,50,63,63,20,0.25,8,0.0707834817967381,0.03490820522344085,-0.030828036873166487,0.6218765277537422,0.37680370343265723,0.39099862331886404,-0.32021514152212593
momentum_volume,21,21,10,50,63,50,63,63,20,0.25,10,0.07071661269739438,0.034875779382842476,-0.023548034884777636,0.6404413755763936,0.37680370343265723,0.39099862331886404,-0.32028201062146966
volume_trend_confirmation,21,21,20,100,63,50,63,63,20,0.25,8,0.07059749296023154,0.034818013915469015,-0.03699182560199965,0.6302449852049253,0.37680370343265723,0.39099862331886404,-0.3204011303586325
obv_accumulation,21,21,20,100,63,50,63,63,20,0.25,10,0.06929470263803994,0.034186034613581606,-0.03462579742438343,0.6331459103041497,0.37680370343265723,0.39099862331886404,-0.3217039206808241
risk_adjusted_momentum,21,21,20,100,63,50,63,63,20,0.25,10,0.06918915655017877,0.03413481775704663,-0.033032273582099037,0.6393596763684805,0.37680370343265723,0.39099862331886404,-0.32180946676868527
volume_trend_confirmation,21,21,10,50,63,50,63,63,20,0.25,10,0.06914997689398716,0.034115804958535945,-0.03336805428704581,0.6197047793234366,0.37680370343265723,0.39099862331886404,-0.32184864642487687
volume_trend_confirmation,21,21,5,20,63,50,63,63,20,0.25,10,0.06914997689398716,0.034115804958535945,-0.03336805428704581,0.6197047793234366,0.37680370343265723,0.39099862331886404,-0.32184864642487687
volume_trend_confirmation,21,21,10,50,63,50,63,63,20,0.25,8,0.06796373348660456,0.03353998952263004,-0.034440551876484315,0.6055426793493965,0.37680370343265723,0.39099862331886404,-0.3230348898322595
volume_trend_confirmation,21,21,5,20,63,50,63,63,20,0.25,8,0.06677405864702002,0.03296218826287389,-0.035516151866949786,0.5974513613828443,0.37680370343265723,0.39099862331886404,-0.324224564671844
momentum_volume,21,21,5,20,63,50,63,63,20,0.25,10,0.065904529629488,0.0325396722968081,-0.027450371589984313,0.6074591140615949,0.37680370343265723,0.39099862331886404,-0.32509409368937603
