ticker,company,period_end_date,total_assets,total_liabilities,common_equity,tangible_book_value,net_debt,debt_total,cash,shares_outstanding,working_capital,operating_cash_flow,free_cash_flow,dividends_paid,capex,ebit,ebitda,eps,ebit_ttm,ebitda_ttm,eps_ttm,operating_cash_flow_ttm,capex_ttm,free_cash_flow_ttm,equity_used,net_income_ttm_used,roe_ttm,ebit_margin_ttm,fcf_to_assets_ttm,debt_to_equity,net_debt_to_ebitda_ttm,asset_turnover_ttm,revenue_growth_yoy,eps_growth_yoy,rebalance_date,currency,fx_to_nok,price_nok,market_cap_nok_m,enterprise_value_nok_m,book_to_market,earnings_yield,fcf_yield,ebitda_yield_ev,momentum_6m,momentum_12m,value_score,quality_score_cross,momentum_score,value_quality_momentum_score,selected
ATEA,Atea ASA (ATEA.OL),2000-03-31,7014.8,2121.7,4890.2,4376.3,-1213.2,368.3,1556.5,14.5,2599.3,-79.4,-79.4,,,-87.4,-72.3,-5.12,,,,,,,4890.2,,,,,0.07531389309230707,,,,,2000-06-30,NOK,1.0,344.4327697753906,4994.275161743164,3781.0751617431642,0.9791611077939009,,,,-0.5127072615682247,,1.2418093660515923,1.1524408179432082,-1.2037626103767851,0.7214159789279824,True
KOG,Kongsberg Gruppen ASA (KOG.OL),2000-03-31,4181.0,2697.0,1484.0,938.0,-49.0,105.0,154.0,676.82,-66.0,122.0,-46.0,,168.0,74.0,117.0,0.06,,,,,,,1484.0,,,,,0.07075471698113207,,,,,2000-06-30,NOK,1.0,4.43064022064209,2998.7459141349796,2949.7459141349796,0.4948735379696468,,,,-0.1300261975170509,,-0.2941212181049211,1.1564450733927851,-0.5163827166882718,0.16912468420260593,True
VEI,Veidekke ASA (VEI.OL),2000-03-31,4221.0,3163.0,1058.0,538.0,1231.0,1402.0,171.0,113.96,118.0,,,,,34.7,95.1,0.08,,,,,,,1058.0,,,,,1.3251417769376181,,,,,2000-06-30,NOK,1.0,12.800000190734863,1458.688021736145,2689.688021736145,0.7253093082513682,,,,-0.02941341011131371,,0.43671180201120824,0.054735883349045694,-0.33565988086639714,0.14854589390393028,True
STB,Storebrand ASA (STB.OL),2000-03-31,154342.8,143909.8,10414.4,9758.9,13657.5,13657.5,,330.37,,,,,,3715.3,3715.3,0.69,,,,,,,10414.4,,,,,1.3114053618067292,,,,,2000-06-30,NOK,1.0,52.08709716796875,17208.014291381834,30865.514291381834,0.6052063778919435,,,,0.10749613844041406,,0.05580224438452076,0.06680036908160836,-0.08974002809875584,0.0305431335318461,True
DNB,DNB Bank ASA (DNB.OL),2000-03-31,330170.0,307690.0,22480.0,21311.0,66690.0,71273.0,4583.0,778.66,,,,,,1749.0,1859.0,1.05,,,,,,,22480.0,,,,,3.1705071174377224,,,,,2000-06-30,NOK,1.0,33.804954528808594,26322.565893402098,93012.56589340209,0.8540200864549736,,,,0.16721295616491139,,0.8449213722573418,-1.5660205956660396,0.0175245942589163,-0.1643876721155267,True
ORK,Orkla ASA (ORK.OL),2000-03-31,43449.0,28556.0,14893.0,14893.0,6933.0,19505.0,,1054.46,,448.0,147.0,,301.0,461.0,968.0,0.53,,,,,,,14893.0,,,,,1.3096756865641577,,,,,2000-06-30,NOK,1.0,32.599998474121094,34375.39439102173,41308.39439102173,0.43324593837648595,,,,0.20732627736666376,,-0.4895747480760442,0.06831951669669796,0.08957699782249198,-0.1784814062258772,False
MOWI,Mowi ASA (MOWI.OL),2000-03-31,405.66,336.05,67.35,-22.75,152.9,164.97,12.07,1.85,49.99,,,,,13.7,16.99,10.86,,,,,,,67.35,,,,,2.449443207126949,,,,,2000-06-30,EUR,8.194499969482422,13898.1943359375,25711.659521484376,26964.59856681824,0.021464953379748977,,,,1.2923076227352204,,-1.7955488185236963,-0.9327210647973052,2.0384436439488014,-0.7267606122249597,False
ATEA,Atea ASA (ATEA.OL),2000-03-31,7014.8,2121.7,4890.2,4376.3,-1213.2,368.3,1556.5,14.5,2599.3,-79.4,-79.4,,,-87.4,-72.3,-5.12,,,,,,,4890.2,,,,,0.07531389309230707,,,,,2000-07-31,NOK,1.0,382.70306396484375,5549.194427490234,4335.994427490235,0.8812450282466888,,,,-0.5050505945335185,,1.0633188264532987,1.1524408179432082,-0.9922087891112615,0.683406000361855,True
VEI,Veidekke ASA (VEI.OL),2000-03-31,4221.0,3163.0,1058.0,538.0,1231.0,1402.0,171.0,113.96,118.0,,,,,34.7,95.1,0.08,,,,,,,1058.0,,,,,1.3251417769376181,,,,,2000-07-31,NOK,1.0,12.399999618530272,1413.1039565277097,2644.1039565277097,0.7487064169006546,,,,0.01371314409789548,,0.6208892626737095,0.054735883349045694,-0.3884695438104271,0.22086381861324983,True
KOG,Kongsberg Gruppen ASA (KOG.OL),2000-03-31,4181.0,2697.0,1484.0,938.0,-49.0,105.0,154.0,676.82,-66.0,122.0,-46.0,,168.0,74.0,117.0,0.06,,,,,,,1484.0,,,,,0.07075471698113207,,,,,2000-07-31,NOK,1.0,4.474078178405762,3028.145592708588,2979.145592708588,0.4900689067174624,,,,-0.04163312211507242,,-0.24247334272311194,1.1564450733927851,-0.4528817424767987,0.20506642296671468,True
STB,Storebrand ASA (STB.OL),2000-03-31,154342.8,143909.8,10414.4,9758.9,13657.5,13657.5,,330.37,,,,,,3715.3,3715.3,0.69,,,,,,,10414.4,,,,,1.3114053618067292,,,,,2000-07-31,NOK,1.0,56.707725524902344,18734.531281661988,32392.031281661988,0.5558932776820511,,,,0.2846218852666995,,-0.022743805525118337,0.06680036908160836,-0.07318490311802439,-0.0014915639313452054,True
DNB,DNB Bank ASA (DNB.OL),2000-03-31,330170.0,307690.0,22480.0,21311.0,66690.0,71273.0,4583.0,778.66,,,,,,1749.0,1859.0,1.05,,,,,,,22480.0,,,,,3.1705071174377224,,,,,2000-07-31,NOK,1.0,34.659576416015625,26988.025772094727,93678.02577209473,0.8329620028466118,,,,0.22483229403872662,,0.9021443758628739,-1.5660205956660396,-0.14276826062109998,-0.17069589146904052,True
ORK,Orkla ASA (ORK.OL),2000-03-31,43449.0,28556.0,14893.0,14893.0,6933.0,19505.0,,1054.46,,448.0,147.0,,301.0,461.0,968.0,0.53,,,,,,,14893.0,,,,,1.3096756865641577,,,,,2000-07-31,NOK,1.0,33.79999923706055,35640.74719551086,42573.74719551086,0.41786441564490684,,,,0.2609384685595544,,-0.4835004755995412,0.06831951669669796,-0.10074775507571733,-0.2138129341910927,False
MOWI,Mowi ASA (MOWI.OL),2000-03-31,405.66,336.05,67.35,-22.75,152.9,164.97,12.07,1.85,49.99,,,,,13.7,16.99,10.86,,,,,,,67.35,,,,,2.449443207126949,,,,,2000-07-31,EUR,8.194000244140625,24438.435546875,45211.105761718754,46463.96839904786,0.012206423778958933,,,,2.195120689712563,,-1.8376348411421124,-0.9327210647973052,2.1502609942133293,-0.7233358523503414,False
ATEA,Atea ASA (ATEA.OL),2000-03-31,7014.8,2121.7,4890.2,4376.3,-1213.2,368.3,1556.5,14.5,2599.3,-79.4,-79.4,,,-87.4,-72.3,-5.12,,,,,,,4890.2,,,,,0.07531389309230707,,,,,2000-08-31,NOK,1.0,456.9006042480469,6625.05876159668,5411.85876159668,0.738136849192479,,,,-0.38421046876766773,,0.815095530425242,1.1524408179432082,-1.291060976239325,0.5119350797236166,True
VEI,Veidekke ASA (VEI.OL),2000-03-31,4221.0,3163.0,1058.0,538.0,1231.0,1402.0,171.0,113.96,118.0,,,,,34.7,95.1,0.08,,,,,,,1058.0,,,,,1.3251417769376181,,,,,2000-08-31,NOK,1.0,13.199999809265137,1504.2719782638549,2735.271978263855,0.7033302589476428,,,,0.11843348559989741,,0.6798255476976647,0.054735883349045694,-0.27014070643713917,0.2710509143486873,True
KOG,Kongsberg Gruppen ASA (KOG.OL),2000-03-31,4181.0,2697.0,1484.0,938.0,-49.0,105.0,154.0,676.82,-66.0,122.0,-46.0,,168.0,74.0,117.0,0.06,,,,,,,1484.0,,,,,0.07075471698113207,,,,,2000-08-31,NOK,1.0,4.495797157287598,3042.845431995392,2993.845431995392,0.48770140750358276,,,,-0.06254757143085887,,-0.1581798646461251,1.1564450733927851,-0.6377313796511475,0.206028560666489,True
STB,Storebrand ASA (STB.OL),2000-03-31,154342.8,143909.8,10414.4,9758.9,13657.5,13657.5,,330.37,,,,,,3715.3,3715.3,0.69,,,,,,,10414.4,,,,,1.3114053618067292,,,,,2000-08-31,NOK,1.0,54.187381744384766,17901.885306892396,31559.385306892396,0.5817487835200439,,,,0.28770046352201506,,0.20731950888725376,0.06680036908160836,0.07365749757444387,0.1314054076927159,True
ORK,Orkla ASA (ORK.OL),2000-03-31,43449.0,28556.0,14893.0,14893.0,6933.0,19505.0,,1054.46,,448.0,147.0,,301.0,461.0,968.0,0.53,,,,,,,14893.0,,,,,1.3096756865641577,,,,,2000-08-31,NOK,1.0,32.29999923706055,34059.05719551087,40992.05719551087,0.43726988432207575,,,,0.32644917129564166,,-0.3541735319861752,0.06831951669669796,0.1523600082701333,-0.10499425689590788,True
DNB,DNB Bank ASA (DNB.OL),2000-03-31,330170.0,307690.0,22480.0,21311.0,66690.0,71273.0,4583.0,778.66,,,,,,1749.0,1859.0,1.05,,,,,,,22480.0,,,,,3.1705071174377224,,,,,2000-08-31,NOK,1.0,39.122589111328125,30463.195237426757,97153.19523742676,0.7379396621002288,,,,0.2599387424446584,,0.814329195820928,-1.5660205956660396,0.0172706584884571,-0.17820493866600473,False
MOWI,Mowi ASA (MOWI.OL),2000-03-31,405.66,336.05,67.35,-22.75,152.9,164.97,12.07,1.85,49.99,,,,,13.7,16.99,10.86,,,,,,,67.35,,,,,2.449443207126949,,,,,2000-08-31,EUR,8.065999984741211,23132.56640625,42795.247851562504,44028.539249229434,0.012694051939051593,,,,1.2142856406391287,,-2.0042163861987863,-0.9327210647973052,1.955644897994577,-0.8372207668695952,False
MOWI,Mowi ASA (MOWI.OL),2000-06-30,442.86,343.17,97.81,14.06,212.38,226.28,13.9,0.02,113.26,,,,,39.51,43.21,12.7,,,,,,,97.81,,,,,2.3134648808915244,,,,,2000-09-29,EUR,8.01200008392334,25371.201171875,507.4240234375,2209.012601261139,1.544376482019412,,,,1.590476782743783,,1.6078998397804598,-0.8202475870575372,1.8970442218891814,0.8158771168089052,True
ATEA,Atea ASA (ATEA.OL),2000-06-30,11525.5,3755.3,7766.6,1695.8,89.9,1084.8,810.3,18.17,1015.0,,,,,-57.9,-32.7,-18.35,,,,,,,7766.6,,,,,0.13967501866968815,,,,,2000-09-29,NOK,1.0,394.41845703125,7166.583364257813,7256.483364257812,1.0837242246751324,,,,-0.3034483288173112,,0.4479612067151131,1.4312766548133227,-1.063004648102639,0.48992844258593604,True
VEI,Veidekke ASA (VEI.OL),2000-06-30,4886.0,3581.0,1305.0,866.0,1203.0,1595.0,392.0,113.96,651.0,,,,,113.4,184.1,0.46,,,,,,,1305.0,,,,,1.2222222222222223,,,,,2000-09-29,NOK,1.0,11.600000381469728,1321.93604347229,2524.9360434722903,0.9871884547244777,,,,0.10349078172939952,,0.20488073277143373,0.31001773548209294,-0.42699235438718547,0.11530406628844062,True
STB,Storebrand ASA (STB.OL),2000-06-30,153936.8,143370.5,10549.4,9899.1,12918.8,12918.8,,330.37,,,,,,3235.7,3235.7,0.7,,,,,,,10549.4,,,,,1.2246004512104953,,,,,2000-09-29,NOK,1.0,54.187381744384766,17901.885306892396,30820.685306892396,0.5892898886989506,,,,0.22752747142030572,,-0.7970418919762186,0.30755446140354714,-0.2331332303300253,-0.29765143596406196,True
ORK,Orkla ASA (ORK.OL),2000-06-30,45132.0,29410.0,15722.0,15722.0,7862.0,20853.0,,1054.46,,652.0,282.0,,370.0,973.0,1499.0,0.75,,,,,,,15722.0,,,,,1.3263579697239536,,,,,2000-09-29,NOK,1.0,35.20000076293945,37116.992804489135,44978.992804489135,0.4235795739922792,,,,0.3841485811364218,,-1.2143063096821527,0.2021581102164546,0.011652656927111565,-0.47335196939578733,True
DNB,DNB Bank ASA (DNB.OL),2000-06-30,335692.0,312129.0,23563.0,22463.0,62359.0,68401.0,6042.0,778.66,,,,,,2084.0,2194.0,1.4,,,,,,,23563.0,,,,,2.90289861223104,,,,,2000-09-29,NOK,1.0,37.50830841064453,29206.21942703247,91565.21942703247,0.8067802153876423,,,,0.2579619515580638,,-0.24939357760863545,-1.4307593748578806,-0.18556664599644343,-0.6501062203234328,False
MOWI,Mowi ASA (MOWI.OL),2000-06-30,442.86,343.17,97.81,14.06,212.38,226.28,13.9,0.02,113.26,,,,,39.51,43.21,12.7,,,,,,,97.81,,,,,2.3134648808915244,,,,,2000-10-31,EUR,7.888000011444092,23878.77734375,477.575546875,2152.828989305496,1.6155041567094404,,,,0.9541986311101609,,1.5259563943984424,-0.8202475870575372,1.8626329981303906,0.7721203216352392,True
ATEA,Atea ASA (ATEA.OL),2000-06-30,11525.5,3755.3,7766.6,1695.8,89.9,1084.8,810.3,18.17,1015.0,,,,,-57.9,-32.7,-18.35,,,,,,,7766.6,,,,,0.13967501866968815,,,,,2000-10-31,NOK,1.0,335.8414611816406,6102.239349670411,6192.13934967041,1.272745881463906,,,,-0.23893813347195736,,0.7371012377986145,1.4312766548133227,-1.1242091282649298,0.6078005605410536,True
VEI,Veidekke ASA (VEI.OL),2000-06-30,4886.0,3581.0,1305.0,866.0,1203.0,1595.0,392.0,113.96,651.0,,,,,113.4,184.1,0.46,,,,,,,1305.0,,,,,1.2222222222222223,,,,,2000-10-31,NOK,1.0,11.800000190734863,1344.728021736145,2547.728021736145,0.9704564632446248,,,,0.0442475789381902,,0.04138479980154539,0.31001773548209294,-0.41529541398830955,0.044070284531766035,True
STB,Storebrand ASA (STB.OL),2000-06-30,153936.8,143370.5,10549.4,9899.1,12918.8,12918.8,,330.37,,,,,,3235.7,3235.7,0.7,,,,,,,10549.4,,,,,1.2246004512104953,,,,,2000-10-31,NOK,1.0,54.187381744384766,17901.885306892396,30820.685306892396,0.5892898886989506,,,,0.09322034022453973,,-0.835866719912902,0.30755446140354714,-0.29269932039865193,-0.32703582654929475,True
ORK,Orkla ASA (ORK.OL),2000-06-30,45132.0,29410.0,15722.0,15722.0,7862.0,20853.0,,1054.46,,652.0,282.0,,370.0,973.0,1499.0,0.75,,,,,,,15722.0,,,,,1.3263579697239536,,,,,2000-10-31,NOK,1.0,33.0,34797.18,42659.18,0.45181822205132716,,,,0.17857173757703815,,-1.152256551912336,0.2021581102164546,-0.07903467043839793,-0.46356704387247166,True
DNB,DNB Bank ASA (DNB.OL),2000-06-30,335692.0,312129.0,23563.0,22463.0,62359.0,68401.0,6042.0,778.66,,,,,,2084.0,2194.0,1.4,,,,,,,23563.0,,,,,2.90289861223104,,,,,2000-10-31,NOK,1.0,37.128475189208984,28910.458490829467,91269.45849082946,0.8150337708229115,,,,0.22955944139763296,,-0.3163191601733638,-1.4307593748578806,0.04860553495989831,-0.6333882962862921,False
MOWI,Mowi ASA (MOWI.OL),2000-06-30,442.86,343.17,97.81,14.06,212.38,226.28,13.9,0.02,113.26,,,,,39.51,43.21,12.7,,,,,,,97.81,,,,,2.3134648808915244,,,,,2000-11-30,EUR,7.9791998863220215,17722.529296875,354.4505859375,2049.073057794571,2.201845819543298,,,,0.49606271745609454,,1.7192840223897448,-0.8202475870575372,1.404568239462567,0.7675048024977605,True
ATEA,Atea ASA (ATEA.OL),2000-06-30,11525.5,3755.3,7766.6,1695.8,89.9,1084.8,810.3,18.17,1015.0,,,,,-57.9,-32.7,-18.35,,,,,,,7766.6,,,,,0.13967501866968815,,,,,2000-11-30,NOK,1.0,294.4470520019531,5350.102934875489,5440.002934875489,1.4516730041532835,,,,-0.2953268685410596,,0.5756141122931022,1.4312766548133227,-1.3890745836179708,0.4821582629929648,True
