ticker,first_date,last_date,rows
AFG,2000-01-03,2026-05-11,6681
AKRBP,2009-01-09,2026-05-11,4351
ATEA,2000-01-03,2026-05-11,6681
BRG,2012-10-18,2026-05-11,3398
DNB,2000-01-03,2026-05-11,6681
ELK,2018-03-22,2026-05-11,2037
EQNR,2000-01-03,2026-05-11,6681
FRO,2000-01-03,2026-05-11,6681
GJF,2010-12-10,2026-05-11,3867
KOG,2000-01-03,2026-05-11,6681
MOWI,2000-01-03,2026-05-11,6681
MPCC,2017-05-31,2026-05-11,2244
NHY,2000-01-03,2026-05-11,6681
NOD,2000-01-03,2026-05-11,6681
ORK,2000-01-03,2026-05-11,6681
PROT,2007-05-25,2026-05-11,4760
SALM,2007-05-08,2026-05-11,4772
STB,2000-01-03,2026-05-11,6681
SUBC,2000-01-03,2026-05-11,6681
TEL,2000-12-05,2026-05-11,6440
TOM,2000-01-03,2026-05-11,6681
VAR,2022-02-16,2026-05-11,1060
VEI,2000-01-03,2026-05-11,6681
VEND,2015-05-29,2026-05-11,2747
YAR,2004-03-24,2026-05-11,5579
