ticker,yahoo_symbol,name,market,currency
2020,2020.OL,2020 Bulkers Ltd.,Oslo,NOK
ABG,ABG.OL,ABG Sundal Collier Holding ASA,Oslo,NOK
ABL,ABL.OL,ABL Group ASA,Oslo,NOK
AFG,AFG.OL,AF Gruppen ASA,Oslo,NOK
AGLX,AGLX.OL,Agilyx ASA,Oslo,NOK
AKAST,AKAST.OL,Akastor ASA,Oslo,NOK
AKER,AKER.OL,Aker ASA,Oslo,NOK
AKBM,AKBM.OL,Aker BioMarine ASA,Oslo,NOK
AKRBP,AKRBP.OL,Aker BP ASA,Oslo,NOK
AKSO,AKSO.OL,Aker Solutions ASA,Oslo,NOK
AKVA,AKVA.OL,AKVA Group ASA,Oslo,NOK
APR,APR.OL,Appear ASA,Oslo,NOK
ARCH,ARCH.OL,Archer Limited,Oslo,NOK
AZT,AZT.OL,ArcticZymes Technologies ASA,Oslo,NOK
AFK,AFK.OL,Arendals Fossekompani ASA,Oslo,NOK
ARR,ARR.OL,Arribatec Group ASA,Oslo,NOK
ATEA,ATEA.OL,Atea ASA,Oslo,NOK
ASA,ASA.OL,Atlantic Sapphire ASA,Oslo,NOK
AUSS,AUSS.OL,Austevoll Seafood ASA,Oslo,NOK
AUTO,AUTO.OL,AutoStore Holdings Ltd.,Oslo,NOK
ACR,ACR.OL,Axactor ASA,Oslo,NOK
B2I,B2I.OL,B2 Impact ASA,Oslo,NOK
BAKKA,BAKKA.OL,Bakkafrost P/f,Oslo,NOK
BEWI,BEWI.OL,BEWi ASA,Oslo,NOK
BINT,BINT.OL,BEWI Invest ASA,Oslo,NOK
BIEN,BIEN.OL,Bien Sparebank ASA,Oslo,NOK
BNOR,BNOR.OL,BlueNord ASA,Oslo,NOK
BONHR,BONHR.OL,Bonheur ASA,Oslo,NOK
BOR,BOR.OL,Borgestad ASA,Oslo,NOK
BRG,BRG.OL,Borregaard ASA,Oslo,NOK
BOUV,BOUV.OL,Bouvet ASA,Oslo,NOK
BWLPG,BWLPG.OL,BW LPG Limited,Oslo,NOK
BWE,BWE.OL,BW Energy Limited,Oslo,NOK
BWO,BWO.OL,BW Offshore Limited,Oslo,NOK
CADLR,CADLR.OL,Cadeler A/S,Oslo,NOK
CAPSL,CAPSL.OL,Capsol Technologies ASA,Oslo,NOK
CAVEN,CAVEN.OL,Cavendish Hydrogen ASA,Oslo,NOK
CLOUD,CLOUD.OL,Cloudberry Clean Energy ASA,Oslo,NOK
CMBTO,CMBTO.OL,CMB.TECH NV,Oslo,NOK
CONTX,CONTX.OL,ContextVision AB,Oslo,NOK
CRNA,CRNA.OL,Circio Holding ASA,Oslo,NOK
DELIA,DELIA.OL,Dellia Group ASA,Oslo,NOK
DNB,DNB.OL,DNB Bank ASA,Oslo,NOK
DNO,DNO.OL,DNO ASA,Oslo,NOK
DOFG,DOFG.OL,DOF Group ASA,Oslo,NOK
EIOF,EIOF.OL,Eidesvik Offshore ASA,Oslo,NOK
EMGS,EMGS.OL,Electromagnetic Geoservices ASA,Oslo,NOK
